PMID,title,subjects,patient_groups,imaging_modalities,whitematter_tracts,analysis_software,study_type,diffusion_measures,template_space,results_method,white_integrity,question_of_study,DTI_study,Human_study,Dementia_study,Disease_study
34958911,Alterations in white matter fiber in Parkinson disease across different cognitive stages,humans,Parkinson's disease,Diffusion tensor imaging;diffusion MRI,Cingulum Bundle;Superior Longitudinal Fasciculus;Corticospinal Tract;Corpus Callosum,,single study,FA;MD,,,decrease,Parkinson's disease patients across different cognitive stages,yes,yes,no,Parkinson Disease
20083207,Dementia Induces Correlated Reductions in White Matter Integrity and Cortical Thickness: A Multivariate Neuroimaging Study with Sparse Canonical Correlation Analysis,humans,Frontotemporal dementia;Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,,,single study,FA,,sparse canonical correlation analysis;correlation;permutation test,decrease,Alzheimer's disease vs Healthy controls;Frontotemporal dementia vs Healthy controls;Frontotemporal dementia vs Alzheimer's disease,yes,yes,yes,Frontotemporal Dementia;Alzheimers Disease
38461504,White Matter Microstructure Analysis in Subjective Memory Complaints and Cognitive Impairment: Insights from Diffusion Kurtosis Imaging and Free-Water DTI,humans,Mild Cognitive Impairment;Cognitively impaired;Healthy controls;Alzheimers Disease;Subjective memory complaints,diffusion MRI;Anatomical MRI,,,single study,MK;free water volume fraction (f),,correlation,no mention,Subjective memory complaints vs Healthy controls;Cognitively impaired vs Subjective memory complaints;Cognitively impaired vs Healthy controls,yes,yes,yes,Mild Cognitive Impairment;Dementia;Alzheimers Disease
37028608,Magnetic Resonance Imaging,mice,Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,,,single study,FA;FW index,,,decrease;increase,3xTg-AD model vs controls,yes,no,yes,Alzheimers Disease
15028645,Differential Vulnerability of Anterior White Matter in Nondemented Aging with Minimal Acceleration in Dementia of the Alzheimer Type: Evidence from Diffusion Tensor Imaging,humans,young adults;nondemented older adults;Alzheimer's disease,diffusion MRI,Corpus Callosum - Splenium;Anterior Corpus Callosum,,single study,,,,decrease,nondemented older adults vs young adults;Alzheimer's disease vs nondemented older adults,yes,yes,yes,Alzheimers Disease
35147158,Longitudinal multimodal MRI characterization of a knock-in mouse model of Huntingtons disease reveals early gray and white matter alterations,mice,Ki140CAG mice,Chemical Exchange Saturation Transfer (gluCEST);Magnetization Transfer Imaging;Anatomical MRI;diffusion MRI;diffusion tensor imaging,,,single study,,,,decrease,Longitudinal assessment of white matter integrity in Ki140CAG mice,yes,no,no,
39185685,A glympse into neurodegeneration: Diffusion MRI and cerebrospinal fluid aquaporin-4 for the assessment of glymphatic system in Alzheimers disease and other dementias,humans,Cognitively unimpaired;Mild Cognitive Impairment;Other neurodegenerative diseases;Alzheimer's disease,diffusion weighted MRI;diffusion MRI,,,single study,FW;MK,,regression,increase,Alzheimer's disease vs other neurodegenerative diseases vs Mild Cognitive Impairment vs Cognitively unimpaired,yes,yes,yes,Mild Cognitive Impairment;Dementia;Alzheimers Disease
38427191,Diffusion Tensor Imaging in Alzheimers Studies,humans,subjective cognitive decline;familial AD mutation carriers;amnestic mild cognitive impairment;Alzheimer's disease,Diffusion Tensor Imaging;diffusion weighted MRI;diffusion MRI,,,review,,,correlation,no mention,use of diffusion metrics in Alzheimer's disease and at-risk individuals,yes,yes,yes,Autosomal Dominant Alzheimer'S Disease;Mild Cognitive Impairment;Alzheimers Disease
22538073,"The Contributions of MRI-Based Measures of Gray Matter, White Matter Hyperintensity, and White Matter Integrity to Late-Life Cognition",humans,Cognitively normal;Mild Cognitive Impairment;Dementia,FLAIR;diffusion MRI;Anatomical MRI,Uncinate Fasciculus;Superior Longitudinal Fasciculus;Corpus Callosum,,single study,FA,MDT,multivariate models,no mention,"Contribution of GM, WMH, and FA to cognition in elderly patients;Cognitively normal vs Mild Cognitive Impairment vs Dementia",yes,yes,yes,Mild Cognitive Impairment;Dementia
27487766,Astroglial NF-kB contributes to white matter damage and cognitive impairment in a mouse model of vascular dementia,mice,,diffusion MRI,,,single study,,,,decrease,GFAP-IkBα-dn transgenic mice vs wild-type mice following chronic cerebral hypoperfusion,yes,no,yes,Vascular Cognitive Impairment and Dementia
37940789,Lateralized brunt of sleep deprivation on white matter injury in a rat model of Alzheimers disease,rats,,diffusion MRI;Diffusion tensor imaging (DTI),,,single study,,,,decrease,AβO-induced rats with sleep deprivation vs AβO-induced rats without sleep deprivation,yes,no,yes,Alzheimers Disease
34902714,White matter microstructure associations to amyloid burden in adults with Down syndrome,humans,Adults with Down syndrome,,,,,,,,,White matter microstructure associations to amyloid burden in adults with Down syndrome,no,yes,no,
26792028,White matter hyperintensity microstructure in amyloid dysmetabolism,humans,Amyloid negative (Ab-);Amyloid positive (Ab+);Subjective Cognitive Decline;Mild Cognitive Impairment,diffusion MRI,,,single study,FA;MD;AD;RD,,,decrease,Amyloid positive (Ab+) vs Amyloid negative (Ab-) in subjects with MCI or subjective cognitive decline,yes,yes,no,Mild Cognitive Impairment
10582990,Clinical Severity in CADASIL Related to Ultrastructural Damage in White Matter In Vivo Study With Diffusion Tensor MRI,humans,CADASIL;Healthy controls,diffusion MRI;Anatomical MRI,,,single study,FA;MD,,correlation,decrease;increase,CADASIL patients vs Healthy controls;Severe vs no/mild clinical disability in CADASIL patients,yes,yes,yes,Dementia
33998562,White matter connectivity for early prediction of Alzheimers disease,humans,Mild Cognitive Impairment;Alzheimer's disease,diffusion MRI,(Anterior) Cingulum Bundle;Global,,single study,,,machine learning;classification,no mention,Early prediction of Alzheimer's disease using white matter connectivity;MCI-AD vs MCI-control,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
28596117,DISRUPTED WHITE MATTER STRUCTURAL NETWORKS IN HEALTHY OLDER ADULT APOE e4 CARRIERS -AN INTERNATIONAL MULTICENTER DTI STUDY,humans,Healthy elderly;APOE e4 carriers;APOE e4 non-carriers,diffusion MRI;DTI,Corpus Callosum - Genu;Cingulum;Corona Radiata;Inferior Fronto-Occipital Fasciculus;Superior Longitudinal Fasciculus;Corpus Callosum;External Capsule;Internal Capsule;Inferior Longitudinal Fasciculus,Tract-Based Spatial Statistics (TBSS),single study,FA;MD;AD;RD,,voxelwise statistical analysis,decrease;increase,APOE e4 carriers vs APOE e4 non-carriers in healthy elderly,yes,yes,no,Alzheimers Disease
26801955,The Superficial White Matter in Alzheimers Disease,humans,Healthy controls;Alzheimer's disease,diffusion MRI,,,single study,RD;AD,,correlation,increase,Alzheimer's disease patients vs healthy controls,yes,yes,yes,Alzheimers Disease
29992469,White matter correlates of temporal discounting in older adults,humans,Older adults without dementia,Diffusion Tensor Imaging (DTI);diffusion MRI,,,single study,FA,,regression,decrease;increase,Association between temporal discounting and white matter integrity in older adults,yes,yes,no,
33317422,White-matter integrity predicts electrical stimulation (tDCS) and language therapy effects in primary progressive aphasia,humans,Primary Progressive Aphasia,diffusion MRI,,,single study,FA;MD,,mixed effects model;forward model selection,no mention,Primary Progressive Aphasia patients: tDCS + language therapy vs sham + language therapy;Does white-matter integrity predict language therapy and tDCS effects in Primary Progressive Aphasia,yes,yes,no,Primary Progressive Aphasia
23741425,Robust Automated Detection of Microstructural White Matter Degeneration in Alzheimers Disease Using Machine Learning Classification of Multicenter DTI Data,humans,Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,,,single study,FA;MD,,Naive Bayes;principal component analysis;cross-validation;classification;support vector machine,decrease,Alzheimer's patients vs healthy controls,yes,yes,yes,Alzheimers Disease
34526957,Brain Network Integrity Changes in Subjective Cognitive Decline: A Possible Physiological Biomarker of Dementia,humans,Healthy controls;Subjective Cognitive Decline;amnestic Mild Cognitive Impairment;Dementia,EEG;diffusion MRI;Anatomical MRI,,,single study,FA;MD,,,decrease,amnestic Mild Cognitive Impairment vs Healthy controls;Subjective Cognitive Decline vs Healthy controls;Dementia vs Healthy controls,yes,yes,yes,Mild Cognitive Impairment;Dementia
39703304,Exploring Tractography: An Analysis of Brain Connectivity Patterns in Men,humans,Healthy men (aged 18-50),diffusion MRI,Cingulum;Inferior Fronto-Occipital Fasciculus;Superior Longitudinal Fasciculus;Uncinate Fasciculus;Superior Fronto-Occipital Fasciculus;Forceps Minor;Forceps Major;Anterior Thalamic Radiation;Inferior Longitudinal Fasciculus;Corticospinal Tract,,single study,FA;MD,,Kruskal-Wallis test,decrease,"Impact of aging on white matter integrity in men (age groups 18-30, 31-40, 41-50)",yes,yes,no,
33867969,White Matter Structural Network Analysis to Differentiate Alzheimers Disease and Subcortical Ischemic Vascular Dementia,humans,Subcortical ischemic vascular dementia;Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,,GRETNA;NBS,single study,,,network-based statistics;graph theory;ROC analysis,decrease;increase,Alzheimer's disease vs Healthy controls;Subcortical ischemic vascular dementia vs Healthy controls;Alzheimer's disease vs Subcortical ischemic vascular dementia,yes,yes,yes,Vascular Dementia;Alzheimers Disease
33192454,"Inflammation, Cognition, and White Matter in Older Adults: An Examination by Race",humans,non-demented older White adults;non-demented older Black adults,diffusion MRI;Anatomical MRI,Global,,single study,FA;MWF;MD,,stratified analysis;linear regression,decrease,"Associations between peripheral inflammation, cognition, and cerebral white matter in non-demented older Black vs White adults",yes,yes,no,
27047376,Hippocampal Pathway Plasticity Is Associated with the Ability to Form Novel Memories in Older Adults,humans,Older adults,,,,,,,,,Association between hippocampal pathway plasticity and the ability to form novel memories in older adults,no,yes,no,
30837858,Diffusion MRI Indices and Their Relation to Cognitive Impairment in Brain Aging: The Updated Multi-protocol Approach in ADNI3,humans,clinical impairment,diffusion MRI,,,single study,FA,,,,relation of diffusion MRI indices to cognitive impairment and age in brain aging,yes,yes,no,
37457665,The association of diffusion tensor MRI measures of normal appearing white matter and cognition,humans,Cognitive impairment no dementia;Normal cognition,diffusion MRI;Anatomical MRI,Global,,single study,FA;MD,,logistic regression;GEE;linear regression,no mention,Association between DTI histogram measures in global normal appearing white matter and cognitive decline in patients with normal cognition and cognitive impairment no dementia,yes,yes,no,Mild Cognitive Impairment
21760989,"Joint Assessment of Structural, Perfusion, and Diffusion MRI in Alzheimers Disease and Frontotemporal Dementia",humans,Healthy controls;Frontotemporal Dementia;Alzheimer's disease,Diffusion Tensor Imaging (DTI);Arterial Spin Labeling MRI;diffusion MRI;Anatomical MRI,,,single study,,,,decrease,Alzheimer's disease vs Frontotemporal Dementia;AD and FTD vs Healthy controls,yes,yes,yes,Frontotemporal Dementia;Alzheimers Disease
34408645,White Matter Integrity Underlies the Physical-Cognitive Correlations in Subjective Cognitive Decline,humans,Cognitively normal older adults;Subjective Cognitive Decline,diffusion MRI;diffusion tensor imaging (DTI),Corona Radiata;Inferior Cerebellar Peduncle;Corticospinal Tract,,single study,FA;MD,,correlation;mediation;FDR correction;regression,decrease,Relation between subjective cognitive complaints and objective cognitive performance mediated by physical activity in subjective cognitive decline,yes,yes,yes,Dementia
39479180,Large-scale Normative Modeling of Brain Microstructure,humans,22q11.2 copy number variant carriers;Parkinson's disease;Mild cognitive impairment;Alzheimer's disease,diffusion weighted MRI;diffusion MRI;DTI,,,single study,,,Hierarchical Bayesian Regression;regression,no mention,"Identify WM microstructural deviations in Alzheimer's disease, mild cognitive impairment, Parkinson's disease, and 22q11.2 CNV carriers compared to a normative population",yes,yes,yes,Parkinson Disease;Mild Cognitive Impairment;Alzheimers Disease
32425831,Age-Related Changes of Peak Width Skeletonized Mean Diffusivity (PSMD) Across the Adult Lifespan: A Multi-Cohort Study,humans,general population,diffusion MRI;DTI,,,single study,MD;AD;RD;FA;PSMD,,,decrease;increase,age effects on PSMD and other DTI metrics across the adult lifespan,yes,yes,no,
24367331,Structural hippocampal network alterations during healthy aging: a multi-modal MRI study,humans,healthy aging subjects,diffusion MRI;Anatomical MRI,Cingulum Bundle;Fornix,,single study,FA,,regression,decrease,relationship between hippocampal atrophy and white matter integrity in healthy aging subjects,yes,yes,no,
36479018,Associations between diffusion MRI microstructure and cerebrospinal fluid markers of Alzheimers disease pathology and neurodegeneration along the Alzheimers disease continuum,humans,Aging adults;Healthy controls,diffusion-weighted imaging;DTI;NODDI;diffusion MRI;MAP-MRI,,Tract-Based Spatial Statistics (TBSS),single study,,,,,Associations between diffusion MRI microstructure and cerebrospinal fluid markers of Alzheimers disease pathology and neurodegeneration along the Alzheimers disease continuum,yes,yes,yes,Alzheimers Disease
25431558,Fractional anisotropy of the fornix and hippocampal atrophy in Alzheimers disease,humans,Alzheimer's disease;Mild Cognitive Impairment;Dementia;Pre-clinical Alzheimer's disease;Pre-symptomatic carriers of familial AD mutations;Cognitively normal individuals,diffusion tensor imaging;diffusion MRI;Anatomical MRI,,,review,FA,,correlation;regression,decrease,Fornix FA in MCI/Alzheimer's disease patients vs cognitively normal controls;Fornix FA in pre-symptomatic familial AD mutation carriers/pre-clinical AD vs controls,yes,yes,yes,Mild Cognitive Impairment;Dementia;Alzheimers Disease
26413203,AUTOMATED MULTI-ATLAS LABELING OF THE FORNIX AND ITS INTEGRITY IN ALZHEIMERS DISEASE,humans,Alzheimer's disease,diffusion MRI;Anatomical MRI,Fornix,,single study,FA;MD,,,decrease,fornix integrity in Alzheimer's disease;Alzheimer's disease stages vs cognitive decline,yes,yes,yes,Alzheimers Disease
38712293,Microstructural Mapping of Neural Pathways in Alzheimers Disease using Macrostructure-Informed Normative Tractometry,humans,Mild Cognitive Impairment;Dementia;Alzheimers Disease,diffusion tensor imaging;diffusion MRI,,,single study,,,,no mention,White matter microstructure and macrostructure alterations in mild cognitive impairment and dementia,yes,yes,yes,Mild Cognitive Impairment;Dementia;Alzheimers Disease
22545143,Assessing Corpus Callosum Changes in Alzheimers Disease: Comparison between Tract-Based Spatial Statistics and Atlas-Based Tractography,humans,Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,Diffusion Tensor Imaging (DTI);diffusion MRI,Corpus Callosum,,single study,FA,,,decrease,Alzheimer's disease vs Healthy controls;Mild Cognitive Impairment vs Healthy controls;Alzheimer's disease vs Mild Cognitive Impairment,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
18593276,Brain Magnetic Resonance Imaging Structural Changes in a Pedigree of Asymptomatic Progranulin Mutation Carriers,humans,No-carriers;Asymptomatic progranulin (PGRN) mutation carriers;Healthy controls,voxel-based morphometry;diffusion MRI;Anatomical MRI,Inferior Occipito-Frontal Fasciculus;Uncinate Fasciculus,,single study,FA,,,decrease,Asymptomatic progranulin mutation carriers vs healthy controls;No-carriers vs healthy controls,yes,yes,yes,Frontotemporal Dementia
18246334,Diffusion abnormalities of the uncinate fasciculus in Alzheimers disease: diffusion tensor tract-specific analysis using a new method to measure the core of the tract,humans,Healthy controls;Alzheimer's disease,diffusion MRI,Uncinate Fasciculus,,single study,FA;MD,,t-test;correlation,decrease,patients with Alzheimer's disease vs age-matched controls,yes,yes,yes,Alzheimers Disease
26836182,CSF markers of Alzheimers pathology and microglial activation are associated with altered white matter microstructure in asymptomatic adults at risk for Alzheimers disease,humans,asymptomatic adults at risk for Alzheimers disease,,,,single study,,,,no mention,Association between CSF markers of Alzheimers pathology and microglial activation and altered white matter microstructure in asymptomatic adults at risk for Alzheimers disease,no,yes,yes,Alzheimers Disease
23347602,Correlations between microstructural alterations and severity of cognitive deficiency in Alzheimers disease and mild cognitive impairment: a diffusional kurtosis imaging study,humans,Mild cognitive impairment;Alzheimer's disease,Diffusion Tensor Imaging;diffusion MRI;Diffusional Kurtosis Imaging,,,single study,kurtosis;diffusivity;Fractional anisotropy;radial kurtosis,,Pearson correlation;Mann-Whitney U test,decrease,Alzheimer's disease vs Mild cognitive impairment,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
25491469,Clinical Investigative Study The Uncinate Fasciculus as a Predictor of Conversion from aMCI to Alzheimer Disease,humans,aMCI-stable (aMCI-aMCI);Amnestic mild cognitive impairment;AD-conversion (aMCI-AD);Alzheimer's disease,diffusion MRI;DTI,Uncinate Fasciculus,,single study,FA,,ROC;correlation,decrease,prediction of conversion from aMCI to Alzheimer's disease by UF FA;aMCI converters vs aMCI-stable,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
22685067,Relationship between apathy and diffusion tensor imaging metrics of the brain in Alzheimers disease,humans,Alzheimer's disease,diffusion MRI,(Anterior) Cingulum Bundle,SPM,single study,FA,,correlation,decrease,association between apathy and white matter integrity in Alzheimer's disease,yes,yes,yes,Alzheimers Disease
20164559,Diagnostic Utility of Novel MRI-Based Biomarkers for Alzheimers Disease: Diffusion Tensor Imaging and Deformation-Based Morphometry,humans,Healthy controls;Alzheimer's disease,DTI;diffusion MRI;Anatomical MRI,,,single study,FA;MD,,logistic regression;cross-validation;multivariate analysis,decrease,Alzheimer's disease patients vs healthy controls,yes,yes,yes,Alzheimers Disease
23586325,,,Frontotemporal Dementia;Amyotrophic Lateral Sclerosis,,Corticospinal Tract,,,,,,decrease,,no,no,no,Frontotemporal Dementia
31747967,"Testing the therapeutic effects of transcranial direct current stimulation (tDCS) in semantic dementia: a double blind, sham controlled, randomized clinical trial",humans,Semantic dementia,,,,single study,,,,no mention,patients with semantic dementia receiving multiday tDCS vs sham,no,yes,yes,Dementia
21816921,Altered Microstructure in Corticospinal Tract in Idiopathic Normal Pressure Hydrocephalus: Comparison with Alzheimer Disease and Parkinson Disease with Dementia,humans,Idiopathic Normal Pressure Hydrocephalus;Alzheimer Disease;Healthy controls;Parkinson Disease with Dementia,diffusion MRI;DTI,Corticospinal Tract,,single study,FA;AD;RD,,,no change;increase,"iNPH vs AD, PDD, and healthy controls",yes,yes,yes,Idiopathic Normal Pressure Hydrocephalus;Parkinson'S Disease Dementia;Alzheimers Disease
24657781,Multi-site study of additive genetic effects on fractional anisotropy of cerebral white matter: comparing meta and mega analytical approaches for data pooling,humans,children;family-based cohorts;adults;twins,diffusion MRI;diffusion tensor imaging (DTI),,,single study,FA,,mega-analysis;leave-one-out analysis;mega-genetic analysis;standard-error weighted meta-analysis;meta-analysis;sample-size weighted meta-analysis;heritability analysis,no mention,additive genetic effects on FA of cerebral white matter;comparing meta-analytical vs mega-genetic analytical approaches for data pooling and heritability estimation,yes,yes,no,
22768288,Sexual Dimorphism in Healthy Aging and Mild Cognitive Impairment: A DTI Study,humans,Mild Cognitive Impairment;Healthy controls,PET;diffusion MRI;Anatomical MRI,,,single study,FA;MD;AD;RD,,,decrease,Healthy controls vs Mild Cognitive Impairment;Male vs Female participants,yes,yes,no,Mild Cognitive Impairment
31092880,"Food knowledge depends upon the integrity of both sensory and functional properties: a VBM, tBss and DtI tractography study",humans,Alzheimers disease;frontotemporal dementia;primary progressive aphasia;Healthy controls,diffusion MRI;Anatomical MRI,,,single study,FA,,correlation,no mention,"food (raw and transformed) and non-food (living and nonliving) semantic recognition across patient groups;recognition of raw food vs transformed food;Alzheimers disease, frontotemporal dementia, primary progressive aphasia vs healthy controls",yes,yes,yes,Frontotemporal Dementia;Alzheimers Disease;Primary Progressive Aphasia
17633702,Incorporating DTI data as a Constraint in Deformation Tensor Morphometry Between T1 MR Images,humans,Alzheimers Disease,diffusion MRI;Anatomical MRI,,,single study,,,,decrease,Incorporating diffusion MRI (DTI) data into deformation tensor morphometry of T1 MR images;DTI-constrained morphometry for improved localization of tissue loss in Alzheimers Disease,yes,yes,yes,Alzheimers Disease
22594996,Modeling the interactions of Alzheimer-related genes from the whole brain microarray data and diffusion tensor images of human brain,humans,Alzheimer's disease,diffusion MRI;fMRI,,,single study,,,,decrease,Alzheimer's disease gene interactions and hippocampal white matter connectivity,yes,yes,yes,Alzheimers Disease
24136984,"Relationship between cerebrospinal fluid flow, ventricles morphology, and DTI properties in internal capsules: differences between Alzheimers disease and normal-pressure hydrocephalus",humans,Normal-pressure hydrocephalus;Alzheimer's disease,diffusion MRI;Phase-contrast MRI,Internal Capsule,,single study,FA;ADC,,correlation,no mention,Alzheimer's disease vs Normal-pressure hydrocephalus,yes,yes,yes,Idiopathic Normal Pressure Hydrocephalus;Alzheimers Disease
18975047,Diffusion abnormality in posterior cingulate fi ber tracts in Alzheimers disease: tract-specifi c analysis,humans,Healthy controls;Alzheimer's disease,diffusion MRI,posterior cingulate,,single study,FA;MD,,t-test,decrease,Alzheimer's patients vs controls,yes,yes,yes,Alzheimers Disease
30440340,,humans,Early Mild Cognitive Impairment;Late Mild Cognitive Impairment;Normal Controls;Alzheimer's disease,diffusion MRI;Diffusion tensor imaging (DTI);Anatomical MRI,,,single study,FA;MD,,bag-of-words;classification,no mention,Alzheimer's patients vs controls,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
20979788,An official website of the United States government Heres how you know . 2010 Aug;49(8):680-3. Multi-modality magnetic resonance imaging features of cognitive function in mild cognitive impairment Article in Chinese,humans,Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,,,single study,FA;MD,,correlation,decrease;increase,association of multi-modality neuroimaging features with cognitive function in MCI and Alzheimer's disease,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
27714552,"Mapping Temporo-parietal and Temporo-occipital Corticocortical Connections of the Human Middle Longitudinal Fascicle in Subject-Specific, Probabilistic, and Stereotaxic Talairach Spaces",humans,,,Middle Longitudinal Fasciculus,,single study,,Talairach,,,"Mapping temporo-parietal and temporo-occipital corticocortical connections of the Human Middle Longitudinal Fascicle in subject-specific, probabilistic, and stereotaxic Talairach spaces",no,yes,no,
22027780,An official website of the United States government Heres how you know,humans,Subcortical ischemic vascular disease;Healthy controls,diffusion MRI;Anatomical MRI,,,single study,FA;MD,,correlation,decrease,Subcortical ischemic vascular disease patients vs controls,yes,yes,no,Cerebral Small Vessel Disease
36440281,"Peak width of skeletonized mean diffusivity in cerebral amyloid angiopathy: Spatial signature, cognitive, and neuroimaging associations",humans,non-cSVD;presumed arteriolosclerosis (cSVD);probable-CAA,diffusion MRI;Anatomical MRI,,,single study,PSMD;MD;FA,,ANOVA;correlation;linear regression,increase,occipital vs frontal PSMD distribution in CAA;probable-CAA vs non-cSVD;probable-CAA vs presumed arteriolosclerosis (cSVD);PSMD vs MD and FA associations with cognition and neuroimaging markers,yes,yes,no,Cerebral Small Vessel Disease;Cerebral Amyloid Angiopathy
38854000,Longitudinal Assessment of Glymphatic Changes Following Mild Traumatic Brain Injury: Insights from PVS burden and DTI-ALPS Imaging,humans,Orthopedic patients;mild traumatic brain injury;Healthy controls,diffusion MRI;Anatomical MRI,,,single study,ALPS index,,correlation;regression,increase,mTBI patients vs controls;prediction of chronic memory problems from acute WM-ePVS and ALPS;associations of WM-ePVS and ALPS with post-concussion symptoms;acute (14Day) vs chronic (6-12Mon) changes in mTBI,yes,yes,no,
32671621,The relationship of parental longevity with the aging brain-results from UK Biobank,humans,both parents died before age 85;at least one parent lived to age 85 or older,diffusion MRI;Anatomical MRI,posterior thalamic radiation;Uncinate Fasciculus,,single study,MD,,linear regression,increase,maternal versus paternal longevity effects on brain structure;participants with at least one parent ≥85 versus participants whose both parents died before 85;association of parental longevity with regional brain structure,yes,yes,no,
28293162,Ensemble Classification of Alzheimers Disease and Mild Cognitive Impairment Based on Complex Graph Measures from Diffusion Tensor Images,,Mild Cognitive Impairment;Alzheimer's disease,diffusion MRI,,,single study,,,classification,,Alzheimer's disease vs Mild Cognitive Impairment,yes,no,yes,Mild Cognitive Impairment;Alzheimers Disease
31507085,1 C-PK11195 PET imaging and white matter changes in Parkinsons disease dementia,humans,Parkinson's disease dementia;Parkinson's disease,PET;diffusion MRI,,,single study,,,,increase,11C-PK11195 binding vs white matter integrity and cognition in Parkinson's disease dementia,yes,yes,yes,Parkinson Disease;Parkinson'S Disease Dementia
29283048,Compensatory Shift of Subcallosal Area and Paraterminal Gyrus White Matter Parameters on DTI in Patients with Alzheimer Disease,humans,Healthy controls;Alzheimer's disease,diffusion MRI,Fornix,,single study,FA,,,decrease,Alzheimer's disease patients vs healthy controls,yes,yes,yes,Alzheimers Disease
19847044,Diffusion tensor imaging in Alzheimers disease and mild cognitive impairment,humans,Mild Cognitive Impairment;Alzheimer's disease,diffusion tensor imaging;diffusion MRI;Anatomical MRI,,,review,FA;MD,,,decrease;increase,white matter integrity in Alzheimers disease and Mild Cognitive Impairment,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
26536311,White Matter Degeneration with aging: Longitudinal Diffusion MR Imaging Analysis 1,,aging,diffusion MRI;diffusion-tensor imaging (DTI),,,single study,,,,no mention,longitudinal rate of change in DTI parameters with aging;whether cardiovascular risk factors influence longitudinal change in white matter DTI parameters,yes,no,no,
24583036,DIFFUSION TENSOR IMAGING OF WHITE MATTER DEGENERATION IN ALZHEIMERS DISEASE AND MILD COGNITIVE IMPAIRMENT,humans,Mild Cognitive Impairment;Alzheimers Disease,diffusion weighted MRI;diffusion MRI;diffusion tensor imaging (DTI),,,review,,,correlation,decrease,white matter degeneration in Alzheimers Disease and Mild Cognitive Impairment,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
27938433,Deep microbleeds and periventricular white matter disintegrity are independent predictors of attentionexecutive dysfunction in non-dementia patients with small vessel disease,humans,No cognitive impairment (NCI);Vascular mild cognitive impairment (VaMCI);post-stroke non-dementia SVD patients,diffusion MRI;Anatomical MRI,,,single study,MD,,correlation;regression,decrease,Vascular mild cognitive impairment vs no cognitive impairment in small vessel disease patients;Association of deep cerebral microbleeds and periventricular white matter integrity (MD) with attention-executive dysfunction,yes,yes,no,Mild Cognitive Impairment;Cerebral Small Vessel Disease
28066707,Longitudinal changes in microstructural white matter metrics in Alzheimers disease,humans,Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,Fornix;Hippocampal Cingulum;Corona Radiata;posterior thalamic radiation;Uncinate Fasciculus;Superior Longitudinal Fasciculus;Corpus Callosum;Tapetum;External Capsule;Internal Capsule;Inferior Longitudinal Fasciculus,,single study,FA;MD,,,decrease;increase,Alzheimers disease vs healthy controls (longitudinal baseline vs year one),yes,yes,yes,Alzheimers Disease
28234631,DTI measurements for Alzheimers classification,humans,Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,diffusion MRI,,,single study,FA;MD,,classification;statistical testing,no mention,Alzheimer's disease patients vs Healthy controls vs Mild Cognitive Impairment subjects,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
39088212,ω-3 PUFA for Secondary Prevention of White Matter Lesions and Neuronal Integrity Breakdown in Older Adults A Randomized Clinical Trial,humans,APOE ε4 carriers;ω-3 PUFA treatment group;Older adults without dementia with white matter lesions;Placebo group,Diffusion Tensor Imaging;diffusion MRI;Anatomical MRI,,,single study,FA,,linear mixed-effects models,decrease,ω-3 PUFA treatment vs placebo in older adults without dementia with white matter lesions;APOE ε4 carriers: ω-3 PUFA treatment vs placebo,yes,yes,yes,Dementia
12975695,Diffusion MRI studies in vascular cognitive impairment and dementia Estudos de ressonância magnética funcional (imagens tensores de difusão) nos quadros de prejuízo cognitivo vasculares e demências,,Vascular cognitive impairment;Dementia,diffusion MRI;fMRI,,,,,,,,Diffusion MRI studies in vascular cognitive impairment and dementia,yes,no,yes,Vascular Cognitive Impairment and Dementia;Dementia
34891164,Hippocampus-and thalamus-related fiber-specific white matter reductions in mild cognitive impairment,humans,Mild Cognitive Impairment;Healthy controls,diffusion MRI;fMRI,,,single study,MD,,correlation;classification;statistical analysis,decrease,Mild Cognitive Impairment vs Healthy controls,yes,yes,no,Mild Cognitive Impairment;Alzheimers Disease
23179680,Patterns of White Matter Injury in HIV Infection after Partial Immune Reconstitution: A DTI Tract-Based Spatial Statistics Study,humans,HIVCI (mild cognitive impairment);HIVNA (neurologically asymptomatic);HIV negative controls;HIV infected individuals,diffusion MRI;DTI,,TBSS,single study,FA;MD,,correlation;group comparison,decrease;increase,Does partial immune reconstitution reverse or prevent CNS injury in HIV?;HIVNA vs HIVCI;HIV infected vs HIV negative controls,yes,yes,no,
