PMID,title,subjects,patient_groups,imaging_modalities,whitematter_tracts,analysis_software,study_type,diffusion_measures,template_space,results_method,white_integrity,question_of_study,DTI_study,Human_study,Dementia_study,Disease_study
25431558,Fractional anisotropy of the fornix and hippocampal atrophy in Alzheimers disease,humans,mild cognitive impairment;Alzheimer's disease,diffusion MRI,Fornix,,review,FA,,,decrease,fornix integrity in Alzheimer's disease,yes,yes,yes,Alzheimers Disease
26413203,AUTOMATED MULTI-ATLAS LABELING OF THE FORNIX AND ITS INTEGRITY IN ALZHEIMERS DISEASE,humans,Alzheimer's disease,diffusion MRI,Fornix,,single study,FA;MD,,,,Alzheimer's disease stages,yes,yes,yes,Alzheimers Disease
38712293,Microstructural Mapping of Neural Pathways in Alzheimers Disease using Macrostructure-Informed Normative Tractometry,humans,dementia;mild cognitive impairment,diffusion tensor imaging;diffusion MRI,,,single study,,,,,mild cognitive impairment and dementia,yes,yes,yes,
22545143,Assessing Corpus Callosum Changes in Alzheimers Disease: Comparison between Tract-Based Spatial Statistics and Atlas-Based Tractography,humans,amnestic Mild Cognitive Impairment;Healthy controls;Alzheimer's disease,diffusion MRI,Corpus Callosum,,single study,FA,,,decrease,AD vs HC;AD vs aMCI,yes,yes,yes,Alzheimers Disease
18593276,Brain Magnetic Resonance Imaging Structural Changes in a Pedigree of Asymptomatic Progranulin Mutation Carriers,humans,PGRN mutation carriers;controls,diffusion MRI,Uncinate Fasciculus;Inferior Occipitofrontal Fasciculus,,single study,FA,,ANOVA,decrease,asymptomatic PGRN mutation carriers vs controls,yes,yes,no,Frontotemporal Dementia
18246334,Diffusion abnormalities of the uncinate fasciculus in Alzheimers disease: diffusion tensor tract-specific analysis using a new method to measure the core of the tract,humans,Healthy controls;Alzheimer's disease,diffusion MRI;MRI,Uncinate Fasciculus,,single study,FA;MD,,t-test,decrease,AD patients vs controls,yes,yes,yes,Alzheimers Disease
26836182,CSF markers of Alzheimers pathology and microglial activation are associated with altered white matter microstructure in asymptomatic adults at risk for Alzheimers disease,,,,,,single study,,,,,,no,no,no,
23347602,Correlations between microstructural alterations and severity of cognitive deficiency in Alzheimers disease and mild cognitive impairment: a diffusional kurtosis imaging study,humans,Mild cognitive impairment;Alzheimer's disease,diffusion MRI,,,single study,FA;diffusivity;kurtosis,,Mann-Whitney U test;Pearsons correlation,decrease,Alzheimer's patients vs Mild cognitive impairment patients,no,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
25491469,Clinical Investigative Study The Uncinate Fasciculus as a Predictor of Conversion from aMCI to Alzheimer Disease,humans,amnestic mild cognitive impairment,diffusion MRI,Uncinate Fasciculus,,single study,FA,,ANOVA,decrease,aMCI patients conversion to Alzheimer's disease,yes,yes,no,Alzheimers Disease
22685067,Relationship between apathy and diffusion tensor imaging metrics of the brain in Alzheimers disease,humans,Alzheimer's disease,diffusion MRI,(Anterior) Cingulum Bundle,SPM,single study,FA,,correlation,decrease,Apathy in Alzheimer's disease,yes,yes,yes,Alzheimers Disease
20164559,Diagnostic Utility of Novel MRI-Based Biomarkers for Alzheimers Disease: Diffusion Tensor Imaging and Deformation-Based Morphometry,humans,Healthy controls;Alzheimer's disease,diffusion MRI;Anatomical MRI,,,single study,FA;MD,,logistic regression;multivariate analysis,decrease,AD patients vs controls,yes,yes,yes,Alzheimers Disease
23586325,,,,,,,,,,,,,no,no,no,
31747967,"Testing the therapeutic effects of transcranial direct current stimulation (tDCS) in semantic dementia: a double blind, sham controlled, randomized clinical trial",humans,semantic dementia,,,,single study,,,,,therapeutic efficacy of tDCS in semantic dementia,no,yes,yes,Dementia
21816921,Altered Microstructure in Corticospinal Tract in Idiopathic Normal Pressure Hydrocephalus: Comparison with Alzheimer Disease and Parkinson Disease with Dementia,humans,Parkinson Disease Dementia;Idiopathic Normal Pressure Hydrocephalus;Healthy controls;Alzheimer's disease,diffusion MRI,Corticospinal Tract,,single study,FA,,t-test,increase,Idiopathic Normal Pressure Hydrocephalus patients vs Alzheimer's disease and Parkinson Disease with Dementia and controls,yes,yes,yes,Parkinson Disease Dementia;Idiopathic Normal Pressure Hydrocephalus;Alzheimer Disease
24657781,Multi-site study of additive genetic effects on fractional anisotropy of cerebral white matter: comparing meta and mega analytical approaches for data pooling,humans,,diffusion MRI,,SOLAR-Eclipse,single study,FA,,,,,yes,yes,no,
22768288,Sexual Dimorphism in Healthy Aging and Mild Cognitive Impairment: A DTI Study,humans,Mild Cognitive Impairment;Healthy controls,diffusion MRI,,,single study,FA;DA;MD;DR,,,decrease,male vs female participants;MCI vs controls,yes,yes,no,Mild Cognitive Impairment
31092880,"Food knowledge depends upon the integrity of both sensory and functional properties: a VBM, tBss and DtI tractography study",humans,healthy controls;Alzheimers disease;frontotemporal dementia;primary progressive aphasia,tBss;VBM;DtI tractography,,,single study,FA,,,,Alzheimers disease patients vs healthy controls,yes,yes,yes,Frontotemporal Dementia;Alzheimers Disease;Primary Progressive Aphasia
17633702,Incorporating DTI data as a Constraint in Deformation Tensor Morphometry Between T1 MR Images,humans,Alzheimer's disease,diffusion MRI;T1W MRI,,,single study,,,mutual information,no mention,localization of tissue loss patterns in Alzheimer's disease,yes,yes,yes,Alzheimers Disease
22594996,Modeling the interactions of Alzheimer-related genes from the whole brain microarray data and diffusion tensor images of human brain,humans,Alzheimer's disease,diffusion MRI;fMRI,,,single study,,,,,Alzheimer's disease related gene interactions,yes,yes,yes,Alzheimers Disease
24136984,"Relationship between cerebrospinal fluid flow, ventricles morphology, and DTI properties in internal capsules: differences between Alzheimers disease and normal-pressure hydrocephalus",humans,Normal-pressure hydrocephalus;Alzheimer's disease,diffusion MRI;Anatomical MRI,Internal Capsule,,single study,FA;ADC,,correlation,no mention,Alzheimer's disease vs normal-pressure hydrocephalus,yes,yes,yes,Alzheimers Disease
18975047,Diffusion abnormality in posterior cingulate fi ber tracts in Alzheimers disease: tract-specifi c analysis,humans,normal controls;Alzheimer's disease,diffusion MRI;magnetic resonance imaging,posterior cingulate,,single study,FA;MD,,t-test,decrease;increase,Alzheimer's patients vs normal controls,yes,yes,yes,Alzheimers Disease
30440340,,humans,Early Mild Cognitive Impairment;Late Mild Cognitive Impairment;Normal Controls;Alzheimer's disease,diffusion MRI,,,single study,FA;MD,,,,Alzheimer's disease patients vs Normal Controls,yes,yes,yes,Alzheimers Disease
20979788,An official website of the United States government Heres how you know . 2010 Aug;49(8):680-3. Multi-modality magnetic resonance imaging features of cognitive function in mild cognitive impairment Article in Chinese,humans,cognitively normal controls;mild probable AD;amnestic MCI,diffusion MRI;Anatomical MRI,Cingulum;Frontal Forceps;Parahippocampal Cingulum;Temporal Forceps;Inferior Longitudinal Fasciculus,Optimized voxel-based morphometry,single study,FA;ADC,,correlation,decrease,MCI and AD vs cognitively normal controls,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
27714552,"Mapping Temporo-parietal and Temporo-occipital Corticocortical Connections of the Human Middle Longitudinal Fascicle in Subject-Specific, Probabilistic, and Stereotaxic Talairach Spaces",humans,,,Middle Longitudinal Fasciculus,,single study,,Talairach,,,,no,yes,no,
22027780,An official website of the United States government Heres how you know,humans,subcortical ischemic vascular disease;age-matched control subjects,diffusion MRI;magnetic resonance imaging,Anterior Thalamic Radiations;Corona Radiata,,single study,FA;ADC,,correlation,increase,SIVD patients vs controls,yes,yes,no,Cerebral Small Vessel Disease
36440281,"Peak width of skeletonized mean diffusivity in cerebral amyloid angiopathy: Spatial signature, cognitive, and neuroimaging associations",humans,non-cSVD;cSVD;Cerebral Amyloid Angiopathy,diffusion MRI,,,single study,FA;MD;PSMD,,linear regression,no mention,Cerebral Amyloid Angiopathy patients vs arteriolosclerosis patients,yes,yes,no,Cerebral Small Vessel Disease;Cerebral Amyloid Angiopathy
38854000,Longitudinal Assessment of Glymphatic Changes Following Mild Traumatic Brain Injury: Insights from PVS burden and DTI-ALPS Imaging,humans,orthopedic patients;patients with mTBI;healthy individuals,DTI,,,single study,,,,,patients with mTBI vs controls,yes,yes,no,
32671621,The relationship of parental longevity with the aging brain-results from UK Biobank,humans,,,posterior thalamic radiation;uncinate fasciculus,,single study,MD,,linear regression,no mention,participants with at least one parent surviving to 85 vs participants whose both parents died before 85,yes,yes,no,
28293162,Ensemble Classification of Alzheimers Disease and Mild Cognitive Impairment Based on Complex Graph Measures from Diffusion Tensor Images,,,,,,single study,,,,,,no,no,no,
31507085,1 C-PK11195 PET imaging and white matter changes in Parkinsons disease dementia,humans,Parkinson's disease dementia,PET;diffusion MRI,,,single study,,,,,Parkinson's disease dementia,yes,yes,yes,Parkinson's Disease Dementia
29283048,Compensatory Shift of Subcallosal Area and Paraterminal Gyrus White Matter Parameters on DTI in Patients with Alzheimer Disease,humans,Healthy controls;Alzheimer's disease,diffusion MRI,Subcallosal Bundle;Forix;Paraterminal Gyrus,,single study,FA,,,decrease,Alzheimer's patients vs controls,yes,yes,yes,Alzheimers Disease
19847044,Diffusion tensor imaging in Alzheimers disease and mild cognitive impairment,humans,Mild Cognitive Impairment;Alzheimer's disease,diffusion MRI,parahippocampal white matter;posterior cingulum;perforant path,,single study,FA;MD,,,decrease,Alzheimer's disease vs Mild Cognitive Impairment,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
26536311,White Matter Degeneration with aging: Longitudinal Diffusion MR Imaging Analysis 1,humans,,diffusion MRI,,,single study,FA;MD,,,,the rate of change in DTI parameters with aging,yes,yes,no,
24583036,DIFFUSION TENSOR IMAGING OF WHITE MATTER DEGENERATION IN ALZHEIMERS DISEASE AND MILD COGNITIVE IMPAIRMENT,humans,Mild Cognitive Impairment;Alzheimer's disease,diffusion MRI,,,review,,,,,Alzheimer's disease and Mild Cognitive Impairment,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
27938433,Deep microbleeds and periventricular white matter disintegrity are independent predictors of attentionexecutive dysfunction in non-dementia patients with small vessel disease,humans,non-dementia SVD patients;no cognitive impairment;vascular mild cognitive impairment,diffusion tensor imaging;diffusion MRI;MRI,periventricular,,single study,MD,,multiple regression,no mention,non-dementia SVD patients vs vascular mild cognitive impairment,yes,yes,no,Cerebral Small Vessel Disease
28066707,Longitudinal changes in microstructural white matter metrics in Alzheimers disease,humans,Healthy controls;Alzheimer's disease,diffusion MRI,Cingulum;Posterior Thalamic Radiation;Hippocampal Cingulum;Fornix;Corona Radiata;Uncinate Fasciculus;Superior Longitudinal Fasciculus;Corpus Callosum;Tapetum;External Capsule;Internal Capsule;Inferior Longitudinal Fasciculus;Fronto-Occipital Fasciculus,,single study,FA;MD,,Tract-Based Spatial Statistics,decrease,Alzheimer's patients vs healthy controls,yes,yes,yes,Alzheimers Disease
28234631,DTI measurements for Alzheimers classification,humans,Mild cognitive impairment;Healthy controls;Alzheimer's disease,diffusion MRI,,,single study,FA;MD,,ANOVA,,AD patients vs HC subjects vs MCI subjects,yes,yes,yes,Alzheimers Disease
39088212,ω-3 PUFA for Secondary Prevention of White Matter Lesions and Neuronal Integrity Breakdown in Older Adults A Randomized Clinical Trial,humans,older adults without dementia,diffusion tensor imaging;magnetic resonance imaging,,,single study,FA,,linear mixed-effects models,no mention,ω-3 treatment effect on white matter lesions and neuronal integrity,yes,yes,no,Alzheimers Disease
12975695,Diffusion MRI studies in vascular cognitive impairment and dementia Estudos de ressonância magnética funcional (imagens tensores de difusão) nos quadros de prejuízo cognitivo vasculares e demências,,,,,,,,,,,,no,no,no,
34891164,Hippocampus-and thalamus-related fiber-specific white matter reductions in mild cognitive impairment,humans,Mild Cognitive Impairment;Normal Control,diffusion MRI,Hippocampus Fornix;Thalamic Radiation,,single study,MD,,correlation,increase,MCI patients vs normal controls,yes,yes,no,Alzheimers Disease
23179680,Patterns of White Matter Injury in HIV Infection after Partial Immune Reconstitution: A DTI Tract-Based Spatial Statistics Study,humans,HIV negative;HIV positive,diffusion MRI,,,single study,FA;MD,,,decrease;increase,HIV positive subjects vs HIV negative controls,yes,yes,no,
37582307,Mixed longitudinal and cross-sectional analyses of deep gray matter and white matter using diffusion weighted images in premanifest and manifest Huntingtons disease,humans,Huntington's disease,diffusion weighted MRI,,,single study,FA;MD,,regression,decrease,Huntington's disease participants vs controls,yes,yes,no,Huntington's disease
35612774,Association of cerebral microvascular dysfunction and white matter injury in Alzheimers disease,humans,Alzheimer's disease,MRI,,,single study,,,,,Alzheimer's patients with microvascular pathology,no,yes,yes,Alzheimers Disease
35908307,Determining the OPTIMAL DTI analysis method for application in cerebral small vessel disease,humans,,diffusion MRI,,,single study,MD,,Cox proportional-hazard regression;logistic regression;linear regression,,DTI analysis methods in cerebral small vessel disease,yes,yes,no,Cerebral Small Vessel Disease
26236629,White matter tract signatures of impaired social cognition in frontotemporal lobar degeneration,humans,healthy older individuals;behavioral variant frontotemporal dementia;semantic variant primary progressive aphasia,diffusion MRI,Fornix;Uncinate Fasciculus;Anterior Thalamic Radiation,,single study,,,,,bvFTD and svPPA vs healthy older individuals,yes,yes,yes,Frontotemporal Dementia
29084064,OPINION New insights into cerebral small vessel disease and vascular cognitive impairment from MRI,,,MRI,,,review,MD,,,,,no,no,no,Vascular Cognitive Impairment and Dementia;Cerebral Small Vessel Disease
33935073,Structural gray and white matter correlates of awareness in Alzheimers disease,humans,Alzheimer's disease,diffusion MRI;Anatomical MRI,,FreeSurfer;FSL;ExploreDTI,single study,FA;MD;AD;RD,,voxel-wise correlations,no mention,awareness in Alzheimer's disease,yes,yes,yes,Alzheimers Disease
23161191,Diffusion tensor imaging in Alzheimer disease and mild cognitive impairment Obrazowanie tensora dyfuzji u pacjentów z chorob¹ Alzheimera i ³agodnymi zaburzeniami poznawczymi,humans,mild cognitive impairment;Alzheimer's disease,diffusion MRI,,,review,,,,,,yes,yes,yes,Mild Cognitive Impairment;Alzheimers Disease
36854050,Local white matter abnormalities in Parkinsons disease with mild cognitive impairment: Assessed with neurite orientation dispersion and density imaging,humans,Parkinson's disease with mild cognitive impairment;Parkinson's disease with normal cognition;Healthy controls,diffusion MRI;NODDI,Cingulum Bundle;Cingulum;Thalamic Radiation,,single study,NDI;ODI,,correlation;ROC analysis,decrease,Parkinson's disease with mild cognitive impairment vs Parkinson's disease with normal cognition vs healthy controls,yes,yes,no,Parkinson Disease
31306117,Relationships Between Diffusion Tensor Imaging and Cerebrospinal Fluid Metrics in Early Stages of the Alzheimers Disease Continuum,humans,Alzheimers disease,diffusion MRI,,,review,,,,,relationship between DTI metrics and CSF measures in early stages of Alzheimer's,yes,yes,yes,Alzheimers Disease
25367029,White matter involvement in sporadic Creutzfeldt-Jakob disease,humans,healthy control subjects;sporadic Creutzfeldt-Jakob disease,T1-weighted MRI;diffusion MRI,,Freesurfer,single study,RD;MD;AD,,t-test,decrease,sporadic Creutzfeldt-Jakob disease vs healthy controls,yes,yes,no,Dementia
28222523,U n c o r r e c t e d A u t h o r P r o o f,humans,Healthy controls;Down syndrome,diffusion MRI,,,single study,FA,,,decrease,Down syndrome patients vs controls,yes,yes,no,
28978655,Change in multimodal MRI markers predicts dementia risk in cerebral small vessel disease,humans,cerebral small vessel disease,diffusion MRI;Anatomical MRI,,,single study,MD,,,decrease,patients with cerebral small vessel disease,yes,yes,yes,Cerebral Small Vessel Disease
21971468,DTI Analyses and Clinical Applications in Alzheimers Disease,humans,Alzheimer's disease,diffusion MRI,,,review,,,,,AD patients vs controls,yes,yes,yes,Alzheimers Disease
25340651,Deep White Matter in Huntingtons Disease,humans,Huntington's disease;Presymptomatic HD;Healthy controls,Diffusion Tensor Imaging;MRI,,,single study,RD;AD,,,decrease,Pre-HD vs HD;Pre-HD subjects vs controls,yes,yes,no,Dementia
38365046,Cognitively healthy APOE44 carriers show white matter impairment associated with serum NfL and amyloid-PET,humans,APOE34;APOE44;APOE33,PET;diffusion MRI,Cingulum;Corpus Callosum,,single study,FA;MD;AxD;RD,,ANCOVA,increase,APOE44 carriers vs APOE33 and APOE34 carriers,yes,yes,no,Alzheimers Disease
26691551,White matter structure alterations in HIV-1-infected men with sustained suppression of viraemia on treatment,humans,HIV-uninfected;HIV-infected,diffusion MRI,,,single study,FA;MD,,TBSS,decrease,HIV-infected patients vs controls,yes,yes,no,
33032831,Cerebral microinfarcts disruption of remote cortical thickness,humans,,diffusion weighted MRI;MRI,,,single study,,,ANOVA,decrease,CMIs influence on cortical thickness in remote brain areas,yes,yes,no,
30502079,NeuroImage: Clinical,humans,Alzheimer's disease,diffusion MRI;DTI,Global,Wavelet Connectivity Signature,single study,FA;MD,,ANOVA,decrease;increase,longitudinal white matter changes in AD,yes,yes,yes,Alzheimers Disease
32925045,White Matter Changes on Diffusion Tensor Imaging in the FINGER Randomized Controlled Trial,humans,at-risk older individuals,diffusion MRI,,,single study,FA;MD;AxD;RD,,correlation,decrease,intervention group vs control group,yes,yes,no,
33551234,Association of White Matter Integrity with Executive Function and Antidepressant Treatment Outcome in Patients with Late Life Depression,humans,late-life depression,diffusion MRI,,,single study,,,,,,yes,yes,no,
33454416,Proximity to dementia onset and multi-modal neuroimaging changes: The prevent-dementia study,humans,first-degree relatives of people with dementia,DWI;MPRAGE;MR imaging;ASL,Corpus Callosum,FSL-BASIL;SPM;DTI-TK;Freesurfer,single study,MeanRadial Diffusivity;Fractional Anisotropy,,TFCE FWER,decrease,EYO and white matter changes,yes,yes,no,
30659829,"White matter lesions, cerebral inflammation and cognitive function in a mouse model of cerebral hypoperfusion",,,,,,,,,,,,no,no,no,
19828477,A comparative analysis of cognitive profiles and white-matter alterations using voxel-based diffusion tensor imaging between patients with Parkinsons disease dementia and dementia with Lewy bodies,humans,dementia with Lewy bodies;Parkinson's disease dementia,diffusion MRI,bilateral visual association;bilateral posterior cingular;bilateral posterior temporal;left temporal;left parietal;bilateral frontal;bilateral insular,,single study,FA,,p-value,decrease,Parkinson's disease dementia vs dementia with Lewy bodies,yes,yes,yes,Lewy Body Dementia;Parkinson'S Disease Dementia
27624391,Diffusion imaging studies of Huntingtons disease: A meta-analysis,humans,pre-symptomatic HD;controls;symptomatic HD,diffusion MRI,Corpus Callosum,CMA2,review,FA;MD;AD;RD,,meta-regression,decrease;increase,pre-symptomatic HD vs controls;symptomatic HD vs controls,yes,yes,no,Huntingtons disease
21843379,Other magnetic resonance imaging techniques,,,fMRI;DTI,,,review,,,,,,yes,no,no,
23919775,An official website of the United States government Heres how you know,,Alzheimer's disease,fMRI;MRE;DTI;SWI;MRI;MRS;ASL;CSI,,,review,,,,,,yes,no,yes,Alzheimers Disease
19419776,Alzheimers disease (AD) and executive dysfunction. A case-control study on the significance of frontal white matter changes detected by diffusion tensor imaging (DTI),humans,Alzheimer's disease,diffusion tensor imaging,,,single study,,,,,,yes,yes,yes,Alzheimers Disease
32924608,Degeneration of gray and white matter differs between hypometabolic and hypermetabolic brain regions in a patient with ALS-FTD: a longitudinal MRI 2 PET multimodal study,humans,Frontotemporal Dementia;ALS,PET;diffusion MRI;MRI,,,single study,,,,,ALS-FTD patient analysis,yes,yes,yes,Frontotemporal Dementia
30063250,In Vivo Characterization of White Matter Pathology in Premanifest Huntingtons Disease,humans,premanifest Huntington's disease;controls,diffusion weighted MRI,genu of corpus callosum;body of corpus callosum;Corpus Callosum,,single study,,,,decrease,premanifest Huntington's disease vs controls,yes,yes,no,
39934085,Neuroimaging Findings in Nondemented Frail Individuals: A Systematic Review,,nondemented frail individuals;robust individuals,DTI;PET;fMRI;MRI,,,review,FA;AD;RD,,,,nondemented frail individuals vs robust individuals,no,no,no,
29159043,NeuroImage: Clinical,humans,Down syndrome,18F fluorodeoxyglucose (FDG)-PET;EEG;PET;diffusion tensor imaging (DTI);sMRI,,,review,,,,,Down syndrome patients with Alzheimer's disease,no,yes,yes,Alzheimers Disease
31030675,White Matter Damage in the Semantic Variant of Primary Progressive Aphasia,humans,healthy controls;semantic variant of primary progressive aphasia,diffusion MRI,Uncinate Fasciculus;Cingulum;Longitudinal Fasciculus;External Capsule,FreeSurfer,single study,FA,,Wilcoxon rank-sum tests,decrease,patients with svPPA vs controls,yes,yes,yes,Primary Progressive Aphasia
33879062,White matter microstructure associations with episodic memory in adults with Down syndrome: a tract-based spatial statistics study,humans,Down syndrome,diffusion MRI,Global,FSL,single study,FA;MD,,correlation,decrease,adults with Down syndrome,yes,yes,no,Alzheimers Disease
34332220,Age Affects White Matter Microstructure and Episodic Memory Across the Older Adult Lifespan,humans,older adults,diffusion MRI,medial temporal;Corpus Callosum,,single study,,,,decrease,age-related differences in white matter microstructure,yes,yes,no,
35568345,Free water diffusion MRI and executive function with a speed component in healthy aging,humans,Healthy controls,diffusion MRI;brain MRI,,,single study,,,,,,no,yes,no,
30094168,NeuroImage: Clinical,humans,familial controls;presymptomatic FTD mutation carriers,diffusion MRI;resting-state functional MRI;Anatomical MRI,,,single study,radial diffusivity,,AUC,,presymptomatic FTD mutation carriers vs controls,yes,yes,yes,Frontotemporal Dementia
32062565,NeuroImage: Clinical,humans,Alzheimer's disease,diffusion MRI,Hippocampal Cingulum,,single study,,,,,investigating regional vulnerability to Alzheimer's disease,yes,yes,yes,Alzheimers Disease
29353280,Microstructure of Strategic White Matter Tracts and Cognition in Memory Clinic Patients with Vascular Brain Injury,humans,memory clinic patients,diffusion MRI;Anatomical MRI,Uncinate Fasciculus;Superior Longitudinal Fasciculus;Corticospinal Tract,,single study,FA;MD,,Bayesian network analysis;linear regression,,vascular brain injury patients,yes,yes,no,
38715429,Diabetes-related clinical and microstructural white matter changes in patients with Alzheimers disease,humans,Type-2 diabetes mellitus;Alzheimer's disease,diffusion MRI,Superior Longitudinal Fasciculus,FSL,single study,,,linear regression,decrease,patients with AD and T2DM vs patients with AD without T2DM,yes,yes,yes,Alzheimers Disease
29054917,Longitudinal diffusion imaging across the C9orf72 clinical spectrum,humans,C9orf72 mutation carriers;Healthy controls,diffusion MRI,Mid-callosum;Frontal White Matter;Corticospinal Tract;Anterior Corpus Callosum,,single study,,,,decrease,C9orf72 carriers vs controls,yes,yes,yes,Frontotemporal Dementia
26116521,Simultaneous changes in grey matter volume and white matter fractional anisotropy in Alzheimers disease revealed by multimodal CCA and joint ICA,humans,normal controls;Alzheimer's disease,structural MRI;diffusion MRI,Cingulum;Corona Radiata;Corpus Callosum,,single study,FA,,,decrease,Alzheimer's disease patients vs normal controls,yes,yes,yes,Alzheimers Disease
32524428,Reproducible Evaluation of Diffusion MRI Features for Automatic Classification of Patients with Alzheimers Disease,humans,MCI;Alzheimer's disease,diffusion MRI,,BIDS,single study,FA;MD,,balanced accuracy,,CN vs AD,yes,yes,yes,Alzheimers Disease
34271425,Diffusion along perivascular spaces reveals evidence supportive of glymphatic function impairment in Parkinson disease,humans,Parkinson disease;essential tremor,diffusion MRI;MRI,,,single study,,,,,Parkinson disease patients with cognitive impairment vs without,yes,yes,no,Parkinson Disease
30036759,Neurofilament relates to white matter microstructure in older adults,humans,early mild cognitive impairment;MCI;normal cognition,diffusion MRI;Anatomical MRI,,,single study,,,,,NFL and DTI measurements in older adults,yes,yes,no,
39160467,White matter structure and derived network properties are used to predict the progression from mild cognitive impairment of older adults to Alzheimers disease,humans,Mild Cognitive Impairment;Alzheimer's disease,diffusion MRI;DTI,,,single study,,,multivariate logistic regression,,MCI patients at high risk for Alzheimer's disease,yes,yes,yes,Alzheimers Disease
26239997,Cardiorespiratory fitness and white matter integrity in Alzheimers disease,humans,Alzheimer's disease,diffusion MRI,Inferior Fronto-Occipital Fasciculus,,single study,FA;MD;AD;RD,,,increase,cardiorespiratory fitness in Alzheimer's disease,yes,yes,yes,Alzheimers Disease
35696810,Causal structure discovery identifies risk factors and early brain markers related to evolution of white matter hyperintensities,humans,dementia participants;mild cognitive impairment;cognitively unimpaired,diffusion MRI,,,single study,,,regression,,midlife risk factors and early brain changes' impact on WMH,yes,yes,yes,Mild Cognitive Impairment;Dementia
30264168,White matter involvement in young non-demented Downs syndrome subjects: a tract-based spatial statistic analysis,humans,Healthy controls;Down syndrome,diffusion MRI,Inferior Longitudinal Fasciculus;Inferior Fronto-Occipital Fasciculus;Anterior Thalamic Radiation;Corticospinal Tract,FSL,single study,FA,,t-test,decrease,Down syndrome subjects vs controls,yes,yes,no,
37957768,Divergent brain regional atrophy and associated fiber disruption in amnestic and non-amnestic MCI,humans,non-amnestic MCI;amnestic MCI;Normal controls,diffusion MRI;Anatomical MRI,,,single study,,,correlation;mediation analyses,no mention,amnestic MCI vs non-amnestic MCI vs normal controls,yes,yes,no,
27079832,"Longitudinal Assessment of Subcortical Gray Matter Volume, Cortical Thickness, and White Matter Integrity in HIV-Positive Patients",humans,HIV-positive patients,diffusion MRI;Anatomical MRI,,FreeSurfer,single study,FA,,permutation-based inference,no mention,HIV-positive patients' brain metrics over time,yes,yes,no,
38100518,Free Water MR Imaging of White Matter Microstructural Changes is a Sensitive Marker of Amyloid Positivity in Alzheimers Disease,humans,AD patients;MCI patients;cognitively healthy controls,PET;diffusion MRI,,SVM,single study,FW,,general linear regression;partial Pearsons correlation;receiver operating characteristic curve analysis;one-way analysis of covariance;Chi-squared test;linear SVM;nonparametric permutation tests,no mention,MCI subtypes vs controls,yes,yes,yes,Alzheimers Disease
30355607,Neurite density is reduced in the presymptomatic phase of C9orf72 disease,humans,non-carriers;presymptomatic C9orf72 mutation carriers,diffusion MRI;Anatomical MRI,,,single study,NODDI metrics,,linear mixed-effects models,decrease,presymptomatic C9orf72 carriers vs non-carriers,yes,yes,no,
22576896,Cerebral White Matter Disruption in Creutzfeldt-Jakob Disease,humans,Healthy controls;Creutzfeldt-Jakob Disease,diffusion MRI,Fornix;Posterior Thalamic Radiation;External Capsule;Internal Capsule;Corticospinal Tract,TBSS,single study,FA;RD,,,decrease,CJD patients vs controls,yes,yes,yes,Dementia
26899784,Financial Literacy is Associated with White Matter Integrity in Old Age,humans,persons without dementia,diffusion MRI;diffusion tensor magnetic resonance imaging,,,single study,FA,,,increase,financial literacy and white matter integrity,yes,yes,no,
21512742,White matter involvement in idiopathic normal pressure hydrocephalus: a voxel-based diffusion tensor imaging study,humans,idiopathic normal pressure hydrocephalus;idiopathic Parkinson's disease;Alzheimer's disease,diffusion MRI,anterior limb of the left internal capsule;Corpus Callosum,,single study,FA;MD,,correlation,increase,INPH patients vs controls,yes,yes,no,Idiopathic Normal Pressure Hydrocephalus
32791876,Diffuse white matter loss in a transgenic rat model of cerebral amyloid angiopathy,rats,,,,,single study,,,,,,no,no,no,Cerebral Amyloid Angiopathy
28291839,Microstructural white matter alterations in preclinical Alzheimers disease detected using free water elimination diffusion tensor imaging,humans,preclinical Alzheimer's disease,diffusion tensor imaging;diffusion MRI,Global,,single study,,,ANOVA,decrease,preclinical Alzheimer's disease pathology effects on white matter,yes,yes,yes,Alzheimers Disease
21152911,White Matter Hyperintensities and Changes in White Matter Integrity in Patients with Alzheimers Disease,humans,Healthy controls;Alzheimer's disease,diffusion MRI,Global,,single study,FA;MD;D R;D A,,,no mention,AD patients vs controls,yes,yes,yes,Alzheimers Disease
30429273,White matter abnormalities in the corpus callosum with cognitive impairment in Parkinson disease,humans,Parkinson disease;Healthy controls,structural MRI;diffusion MRI,Corpus Callosum,,single study,FA;MD;AD;RD,,regression,increase,Parkinson disease patients vs controls,yes,yes,yes,Parkinson Disease
36048971,White matter integrity and key structures affected in Alzheimers disease characterized by diffusion tensor imaging,humans,Alzheimer's disease,diffusion MRI,Cingulum;Fornix;Posterior Thalamic Radiation;Fornix-Stria Terminalis;Uncinate Fasciculus;Corpus Callosum;Sagittal Striatum,,single study,FA;MD;AD;RD,,multivariable general linear model,decrease;increase,AD diagnosis and DTI measures,yes,yes,yes,Alzheimers Disease
