pmcid,table_id,table_label,table_caption,table_foot,n_header_rows,table_data_file
3184226,Tab7,Table 7,Summaries of the common and different regions from Tables 2 and 3 for fractional anisotropy (FA),"R. right, L. left",1,articles/c09/pmcid_3184226/tables/table_006.csv
3184226,Tab8,Table 8,The ROI data and results of the corresponding statistical test for the mean diffusivity (MD) values,"Rt right, Lt left, AD Alzheimer's disease, MCI mild cognitive impairment, CN cognitive normal, Gm geometric mean, neg negative, p positiveThe ROIs are listed in the table above. The significant level was used with p = 0.016 (p = 0.05/3 times repeated) because we repeated the same tasks three times among the three groups",2,articles/c09/pmcid_3184226/tables/table_007.csv
3184226,Tab9,Table 9,The ROI data and results of the corresponding statistical test for the fractional anisotropy (FA) values,"Rt right, Lt left, AD Alzheimer's disease, MCI mild cognitive impairment, CN cognitive normal, Gm geometric mean, neg negative, p positiveThe ROIs are listed in the table above. The significant level was used with p = 0.016 (p = 0.05/3 times repeated) because we repeated the same tasks three times among the three groups",2,articles/c09/pmcid_3184226/tables/table_008.csv
8453576,jnr24851-tbl-0001,TABLE 1,Description and operationalization of neurocognitive functioning measures,"Abbreviations: ANT, attention network test; DS, digit span; GT, grid task; SST, stop signal task.",1,articles/db1/pmcid_8453576/tables/table_000.csv
8453576,jnr24851-tbl-0002,TABLE 2,Baseline characteristics,"Abbreviations: BMI, body‐mass index; M, mean; SD, standard deviation; SES, socioeconomic status.aAccording to the reference values by Cole and Lobstein (2012).bThe average level of parental education ranged from 0 (no education) to 7 (post‐doctoral education).cComponent scores derived from four motor skills subtests including: Jumping Sideways, Moving Sideways, Backwards Balancing, and Ball Skills.",1,articles/db1/pmcid_8453576/tables/table_001.csv
8453576,jnr24851-tbl-0003,TABLE 3,Results of linear regression analysis relating cardiovascular fitness to neurocognitive functioning components,"Abbreviation: SES, socioeconomic status.aCovariates significantly related to the neurocognitive functioning component.",1,articles/db1/pmcid_8453576/tables/table_002.csv
8453576,jnr24851-tbl-0004,TABLE 4,Results of linear regression analysis relating gross motor skills to neurocognitive functioning components,"Abbreviation: SES, socioeconomic status.aCovariates significantly related to the neurocognitive functioning component.",1,articles/db1/pmcid_8453576/tables/table_003.csv
8453576,jnr24851-tbl-0005,TABLE 5,Results of linear regression analysis relating DTI parameters to cardiovascular fitness and gross motor skills,aCorrected for Scanning Site and Grade.bCorrected for Scanning Site.c10−5 mm2/s.,1,articles/db1/pmcid_8453576/tables/table_004.csv
6514143,T1,Table 1,Demographic and neuropsychological data for mTBI and control participants.,"mTBI, mild traumatic brain injury; TMT-A, Trail-making test part A; RPCS, Rivermead post-concussion symptoms questionnaire; PCL-C, Posttraumatic Stress Disorder checklist – Civilian version; DSC, Wechsler Adult Intelligence Scale WAIS-III Digit Symbol Coding score; FDS and BDS, forward digit span and backward digit span of the Wechsler Adult Intelligence Scale WAIS-III; VFT, Verbal fluency test; Beck, Beck Depression Inventory 2nd edition BDI-II; FSS, Fatigue Severity Scale; ISI, Insomnia Severity Index. The results are thresholded at P < 0.05.",1,articles/bd8/pmcid_6514143/tables/table_000.csv
5996902,T1,Table 1,Summary of the main features of Alzheimer's disease and vascular dementia.,,1,articles/1fc/pmcid_5996902/tables/table_000.csv
5996902,T2,Table 2,Demographic and clinical evaluation.,"Demographic and clinical scores for healthy controls (HC), Alzheimer's disease (AD), and vascular dementia (VaD) groups. Values are expressed as mean (SD). MMSE, Mini Mental State Examination. p-values show statistically significant differences between HC, AD and VaD groups.*p < 0.05 between HC and AD or VaD;†p < 0.05 between AD and VaD.",2,articles/1fc/pmcid_5996902/tables/table_001.csv
5996902,T3,Table 3,Diffusion changes between HC and AD.,"Regions of significant alterations identified as FA reductions and as MD, RD, and AxD increases. WBA, widespread brain alteration; WCA, widespread cerebrum alteration; CRBL, cerebellum; ThR, thalamic radiation; PhT, parahippocampal tract; CC, corpus callosum; CST, corticospinal tract; CB, cingulum bundle.",1,articles/1fc/pmcid_5996902/tables/table_002.csv
5996902,T4,Table 4,Diffusion changes between HC and VaD.,"Areas of significant alterations identified as FA reductions and as MD, RD, and AxD increases. WBA, widespread brain alteration; PhT, parahippocampal tract; CC, corpus callosum; CST, corticospinal tract; CB, cingulum bundle.",1,articles/1fc/pmcid_5996902/tables/table_003.csv
5996902,T5,Table 5,Diffusion changes between AD and VaD.,"Areas of significant alterations identified as FA reductions and as MD, RD, and AxD increases. CRBL, cerebellum; ThR, thalamic radiation; PhT, parahippocampal tract; CC, corpus callosum; CST, corticospinal tract; SLF, superior longitudinal fasciculus.",1,articles/1fc/pmcid_5996902/tables/table_004.csv
5996902,T6,Table 6,Fazekas correlations with DTI derived parameters.,"Pearson correlations between Fazekas score and DTI-based parameters for all patients, Alzheimer's disease (AD), and vascular dementia (VaD) patients. CC, corpus callosum. Significance was set at p < 0.01.",1,articles/1fc/pmcid_5996902/tables/table_005.csv
5996902,T7,Table 7,ARWMC basal ganglia correlations with DTI derived parameters.,"Pearson correlations between ARWMC score and DTI-based parameters for all patients, Alzheimer's disease (AD), and vascular dementia (VaD) patients. CC, corpus callosum. Significance was set at p < 0.01.",1,articles/1fc/pmcid_5996902/tables/table_006.csv
5996902,T8,Table 8,Neuropsychological correlations with DTI derived parameters.,"Pearson correlations between neuropsychological tests and DTI-based parameters for all patients, Alzheimer's disease (AD), and vascular dementia (VaD) patients. MD, mean diffusivity; CC, corpus callosum. Significance was set at p < 0.05.",1,articles/1fc/pmcid_5996902/tables/table_007.csv
9421487,t0005,Table 1,"Overview about the cohort studies included in the OPTIMAL project. The table shows the number of patients enrolled, the respective inclusion criteria and the type of dementia diagnosis given in each study.","SVD = small vessel disease, WMH = white matter hyperintensities, MCI = mild cognitive impairment.",1,articles/80d/pmcid_9421487/tables/table_000.csv
9421487,t0010,Table 2,"Overview over the cohorts. Clinical markers, imaging markers and sample sizes both at baseline and longitudinal are shown.","DTI = Diffusion tensor imaging, MD Median = Mean diffusivity Median of the WM histogram, PC1 = Scores of the first principal component, PSMD = Peak width of skeletonized mean diffusivity, DSEG θ = Diffusion tensor image segmentation θ, Geff = Global efficiency network measure.",1,articles/80d/pmcid_9421487/tables/table_001.csv
9421487,t0015,Table 3a,"Cross-sectional analysis between DTI and Global Cognition while accounting for clinical markers. All imaging markers were associated with impaired cognitive function in the severe SVD (SCANS), mild SVD (RUN DMC) and MCI cohort (HARMONISATION).","MD Median = mean diffusivity median of the WM histogram, PC1 = scores of the first principal component, PSMD = peak width of skeletonized mean diffusivity, DSEG θ = diffusion tensor image segmentation θ, Geff = global efficiency network measure, β = standardized regression coefficient, 95 % CI = 95 % confidence interval, AIC = Akaike information criterion, P-Value = statistical value of significance with p < 0.05.",3,articles/80d/pmcid_9421487/tables/table_002.csv
9421487,t0020,Table 3b,"Cross-sectional analysis between DTI and Global Cognition or TMT-B while accounting for the clinical markers. In severe SVD and monogenic SVD all imaging markers were associated with impaired cognitive function. Only MD median, DSEG θ and Geff were significantly related to impaired cognitive function in the community cohort with normal neurological functioning.","MD Median = mean diffusivity median of the WM histogram, PC1 = scores of the first principal component, PSMD = peak width of skeletonized mean diffusivity, DSEG θ = diffusion tensor image segmentation θ, Geff = global efficiency network measure, β = standardized regression coefficient, 95 % CI = 95 % confidence interval, AIC = Akaike information criterion, P-Value = statistical value of significance with p < 0.05.",3,articles/80d/pmcid_9421487/tables/table_003.csv
9421487,t0025,Table 4,"Baseline DTI measures predicting dementia conversion while accounting for the clinical markers. Baseline PSMD and PC1 measures predicted dementia conversion in SCANS, RUN DMC and HARMONISATION. In RUN DMC MD median and DSEG was not associated with dementia. In HARMONISATION baseline Geff did not predict dementia conversion.","MD Median = mean diffusivity median of the WM histogram, PC1 = scores of the first principal component, PSMD = peak width of skeletonized mean diffusivity, DSEG θ = diffusion tensor image segmentation θ, Geff = global efficiency network measure, AIC = Akaike information criterion, HR = hazard ratio, AUC = area under the curve, AIC = Akaike information criterion, 95 % CI = 95 % confidence interval, P-Value = statistical value of significance with p < 0.05.",3,articles/80d/pmcid_9421487/tables/table_004.csv
9421487,t0030,Table 5,Change in DTI measures in each cohort studies. There were significant changes in all measures in all cohorts except for PRESERVE and CADASIL. In PRESERVE there was a significant change DSEG and MD Median but not for PSMD and Geff. In CADASIL there was only a marginally significant change for Geff.,"MD Median = mean diffusivity median of the WM histogram, PC1 = scores of the first principal component, PSMD = peak width of skeletonized mean diffusivity, DSEG θ = diffusion tensor image segmentation θ, Geff = global efficiency network measure.P-Value = statistical value of significance with p < 0.05.",3,articles/80d/pmcid_9421487/tables/table_005.csv
9421487,t0035,Table 6,Change in DTI measures associated with dementia conversion while accounting for the clinical markers. Change in DTI was consistently associated with dementia conversion only in severe SVD but not in mild SVD or MCI. The AUC was highest and AIC lowest for DSEG. Change in MD Median was associated with dementia conversion in HARMONISATION.,"MD Median = Mean diffusivity Median of the aWM histogram, PC1 = Scores of the first principal component, PSMD = Peak width of skeletonized mean diffusivity, DSEG θ = Diffusion tensor image segmentation θ, Geff = Global efficiency network measure, AIC = Akaike information criterion, HR = hazard ratio, OR = Odd’s ratio, AUC = area under the cruve, AIC = Akaike information criterion, 95 % CI = 95 % confidence interval, P-Value = statistical value of significance with p < 0.05.",3,articles/80d/pmcid_9421487/tables/table_006.csv
9421487,t0040,Table 7,Sample size estimation per treatment arm. Sample size estimation was lowest for DSEG and PSMD in the sporadic SVD cohorts SCANS and RUN DMC. DSEG and MD median required the lowest minimum sample size in CADASIL.,"RCT = Randomized controlled trial, MD Median = Mean diffusivity Median of the WM histogram, PC1 = Scores of the first principal component, PSMD = Peak width of skeletonized mean diffusivity, DSEG θ = Diffusion tensor image segmentation θ, Geff = Global efficiency network measure.",3,articles/80d/pmcid_9421487/tables/table_007.csv
9826950,tbl0001,Table 1,Patient physical characteristics time 1 to time 2.,*For patient change + represents increase and - represents decrease.,1,articles/e1f/pmcid_9826950/tables/table_000.csv
9826950,tbl0002,Table 2,Patient v Control's Neuropsychological Assessment t1 to t2.,"*ACE, Addenbrooke's cognitive examination; VOSP, Visual Object and Space Perception battery; FCSRT, Free and Cued Selective Reminding Test; INECO frontal screen. Patients raw scores are reported and mean scores for controls.",2,articles/e1f/pmcid_9826950/tables/table_001.csv
9826950,tbl0003,Table 3,"Total scores, standard deviations (SD), Z-case control (Zcc) scores, confidence intervals from a modified paired samples t-test for patient and control group on the Spatial Battery at Time 2.",⁎Significant differences for RK compared to controls are marked in bold. Trend towards significance are marked in italics. P values represents a two-tailed probability that case score differs from controls.,2,articles/e1f/pmcid_9826950/tables/table_002.csv
9826950,tbl0004,Table 4,SLF Tracts of Interest Patient vs Controls.,"*Standard deviation in parenthesis. Rh SLFP, right hemisphere superior longitudinal fasciculus parietal; lh SLFP, left hemisphere superior longitudinal fasciculus parietal; rh SLFT, right hemisphere superior longitudinal fasciculus temporal; lh SLFT, left hemisphere superior longitudinal fasciculus temporal.",1,articles/e1f/pmcid_9826950/tables/table_003.csv
9826950,utbl0001,,,,1,articles/e1f/pmcid_9826950/tables/table_004.csv
9826950,utbl0002,,,,1,articles/e1f/pmcid_9826950/tables/table_005.csv
4513187,t0005,Table 1,Demographic and neuropsychological characteristics of patient and healthy control groups.,"Mean (standard deviation) values shown; maximum scores are shown in parentheses after names of tests.Significant group differences in t tests p < 0.05 relative to the healthy control group are shown in bold.BPVS, British Picture Vocabulary Scale; bvFTD, behavioural variant frontotemporal dementia; D-KEFS, Delis–Kaplan Executive Function System; GNT, Graded Naming Test; n/a, not available; NART, National Adult Reading Test; RMT, Recognition Memory Test; sec, seconds; svPPA, semantic variant primary progressive aphasia; TASIT, the Awareness of Social Inference Test; VOSP, Visual Object and Space Perception; WASI, Wechsler Abbreviated Scale of Intelligence (see also Supplementary material on-line).",1,articles/db8/pmcid_4513187/tables/table_000.csv
4513187,t0010,Table 2,Summary of DTI correlations with emotion identification in patient groups.,"Diffusion tensor tractography (DTI) associations of altered white matter diffusivity metrics associated with TASIT emotion identification score are summarised. Cluster numbering indexes statistically independent anatomical associations within each contrast generated using the FSL cluster command. Results are corrected for multiple comparisons at whole brain level using family-wise error correction (p = 0.05) and ordered by statistical significance and size (number of voxels in the cluster). Peak co-ordinates and anatomical associations are based on centre-of-gravity of cluster and are displayed in MNI standard space.bvFTD, behavioural variant frontotemporal dementia; svPPA, semantic variant primary progressive aphasia.",1,articles/db8/pmcid_4513187/tables/table_001.csv
4513187,t0015,Table 3,Summary of DTI correlations with sarcasm identification in patient groups.,Diffusion tensor tractography (DTI) associations of altered white matter diffusivity metrics associated with TASIT total sarcasm identification score are summarised. Cluster numbering indexes statistically independent anatomical associations within each contrast generated using the FSL cluster command. Results are corrected for multiple comparisons at whole brain level using family-wise error correction (p = 0.05) and ordered by statistical significance and size (number of voxels in the cluster). Peak co-ordinates and anatomical associations are based on centre-of-gravity of cluster and are displayed in MNI standard space.,1,articles/db8/pmcid_4513187/tables/table_002.csv
4513187,t0020,Table 4,Summary of VBM correlates of sarcasm identification in patient groups.,"Voxel-based morphometry (VBM) associations of TASIT total sarcasm identification score are summarised. All correlations shown are positive and significant after family-wise error correction for multiple comparisons at whole brain level (p < 0.05). bvFTD, behavioural variant frontotemporal dementia; L, left hemisphere; OFC, orbitofrontal cortex; R, right hemisphere; svPPA; semantic variant primary progressive aphasia; TL, temporal lobe.",1,articles/db8/pmcid_4513187/tables/table_003.csv
8059162,Tab1,Table 1,Subject demographic information,,1,articles/a10/pmcid_8059162/tables/table_000.csv
8059162,Tab2,Table 2,JHU atlas ROI comparisons of DTI parameters and the episodic memory composite score (EMCS),"*Corrected for family-wise error rate, imaging site, chronological age, and premorbid cognitive ability",1,articles/a10/pmcid_8059162/tables/table_001.csv
7212692,T1,Table 1,Basic statistics for the 10 contributing data sets.,"MRi-Share, magnetic resonance imaging subcohort of Internet-based Students HeAlth Research Enterprise; BIL&GIN, Brain Imaging of Lateralization study at Groupe d'Imagerie Neurofonctionnelle; SYS cohort, Saguenay Youth Study; ASPSF, Austrian Stroke Prevention Study Family; OATS, Older Australian Twin Study; LBC 1936, Lothian Birth Cohort; MAS, Memory and Ageing Study; TIV, total intracranial volume estimated with Freesurfer 5.3 version except “*” with FreeSurfer 6.0 version. †data subsample size < 30 (not included in the age category statistical analysis).",1,articles/694/pmcid_7212692/tables/table_000.csv
7212692,T2,Table 2,Diffusion-weighted imaging acquisition the 10 contributing data sets.,see Table 1 legend for the meaning of data set abbreviated names and Supplementary Material section for a more detailed description of these data sets.*Multi-shell acquisition.,1,articles/694/pmcid_7212692/tables/table_001.csv
7212692,T3a,Table 3A,"Basic statistics of axial diffusivity (AD, in mm2 s−1 × 10−4) average across a white matter skeleton for each age category and each contributing data set.","Values are mean (S.D. and range [min, max] across the age category sample). See Table 1 legend for the meaning of data set abbreviated names.",1,articles/694/pmcid_7212692/tables/table_002.csv
7212692,T3b,Table 3B,"Basic statistics of radial diffusivity (RD, in mm2 s−1 × 10−4) average across a white matter skeleton for each age category and each contributing data set.","Values are mean (S.D. and range [min, max] across the age category sample (see Table 1 legend for the meaning of data set abbreviated names).",1,articles/694/pmcid_7212692/tables/table_003.csv
7212692,T3c,Table 3C,"Basic statistics of mean diffusivity (MD, in mm2 s−1 × 10−4) average across a white matter skeleton for each age category and each contributing data set.","Values are mean (S.D. and range [min, max] across the age category sample (see Table 1 legend for the meaning of data set abbreviated names).",1,articles/694/pmcid_7212692/tables/table_004.csv
7212692,T3d,Table 3D,"Basic statistics of peak width skeletonized mean diffusivity (PSMD, in mm2 s−1 × 10−4) for each age category and each contributing data set.","Values are mean (S.D. and range [min, max] across the age category sample (see Table 1 legend for the meaning of data set abbreviated names).",1,articles/694/pmcid_7212692/tables/table_005.csv
7212692,T3e,Table 3E,"Basic statistics of fractional anisotropy (FA, unitless) average across individual FA skeleton for each age range category and each contributing data set.","Values are mean (S.D. and range [min, max] across the age category sample (see Table 1 legend for the meaning of data set abbreviated names).",1,articles/694/pmcid_7212692/tables/table_006.csv
7212692,T4,Table 4,"ANOVA effect of age (estimate (standard error) and significance p-value) on five DTI metrics (AD, RD, MD, PSMD, and FA evaluated across individual FA skeletons).","Values are in mm2 s−1 year-−1 × 10−6 for AD, RD, and MD, in mm2 s−1 year−1 × 10−7 for PSMD, and in year−1 × 10−3 for FA.",2,articles/694/pmcid_7212692/tables/table_007.csv
7212692,T5,Table 5,"ANOVA effect of sex and TIV (estimate (standard error) and significance p value) on five DTI metrics (AD, RD, MD, PSMD, and FA evaluated across individual FA skeletons).","Values for the effects of sex are in mm2 s−1 × 10−6 for AD, RD, MD, and PSMD and in ×10−3 for FA, and for the effects of TIV are in mm2 s−1 cm−3 × 10−6 for AD, RD MD, and PSMD and in cm−3 × 10−5 for FA.",2,articles/694/pmcid_7212692/tables/table_008.csv
11497668,alz13879-tbl-0001,TABLE 1,Participant characteristics in the Framingham Heart Study.,"Abbreviations: BMI, body mass index; FLI, free leptin index; HVOT, Hooper Visual Organization Test.; IQR, interquartile range; MRI, magnetic resonance imaging; NP, neuropsychological evaluation; PSMD, peak width of skeletonized mean diffusivity; SD, standard deviation; sOB‐R, soluble leptin receptor; TMT, Trail Making Test; WHR, waist‐to‐hip ratio; WMH, white matter hyperintensity.aPrevalent cardiovascular disease includes history of transient ischemic attack, coronary heart disease, congestive heart failure, or peripheral vascular disease.",1,articles/9e1/pmcid_11497668/tables/table_000.csv
11497668,alz13879-tbl-0002,TABLE 2,Associations of leptin markers with neuropsychological test scores (n = 2262).,"Note: Results from linear regression models with the respective neuropsychological test score as the outcome and the respective leptin marker as the main predictor. Models are adjusted for age, sex, education, diabetes mellitus, body mass index, systolic blood pressure, antihypertensive medication use, current smoking, prevalent cardiovascular disease, and time interval between blood draw and neuropsychological assessment. Values represent beta coefficients (β), and their corresponding standard errors (SE) and raw p‐values (p). Statistically significant findings after false discovery rate control at 5% using the Benjamini‐Hochberg procedure are indicated in bold.Abbreviations: FLI, free leptin index; HVOT, Hooper Visual Organization Test.;sOB‐R, soluble leptin receptor; TMT, Trail Making Test.aThese variables have been natural log‐transformed to normalize their distributions.bScores were multiplied by −1 so that higher scores reflect better cognitive performance.",2,articles/9e1/pmcid_11497668/tables/table_001.csv
11497668,alz13879-tbl-0003,TABLE 3,Associations of leptin markers with MRI markers of brain atrophy and vascular injury (n = 2028).,"Note: Results from linear regression models with the respective MRI marker as the outcome and the respective leptin marker as the main predictor. Models are adjusted for age, sex, diabetes mellitus, body mass index, systolic blood pressure, antihypertensive medication use, current smoking, prevalent cardiovascular disease, and time interval between blood draw and MRI acquisition. Values represent beta coefficients (β), and their corresponding standard errors (SE) and raw p values (p). Statistically significant findings after false discovery rate control at 5% using the Benjamini‐Hochberg procedure are indicated in bold.Abbreviations: FLI, free leptin index, MRI, magnetic resonance imaging; PSMD, peak width of skeletonized mean diffusivity.; sOB‐R, soluble leptin receptor; WMH, white matter hyperintensity.aThese variables have been natural log‐transformed to normalize their distributions.bas percentage of total cranial volume.cModels are further adjusted for total cranial volume.",2,articles/9e1/pmcid_11497668/tables/table_002.csv
11497668,alz13879-tbl-0004,TABLE 4,Participant characteristics in the MarkVCID‐1 sample (n = 89).,"Abbreviations: BMI, body mass index; IQR, interquartile range; MRI, magnetic resonance imaging; NPX, Normalized Protein eXpression; PSMD, peak width of skeletonized mean diffusivity; SD, standard deviation; TMT, Trail Making Test.; WMH, white matter hyperintensity.",1,articles/9e1/pmcid_11497668/tables/table_003.csv
11497668,alz13879-tbl-0005,TABLE 5,Associations of leptin markers with MRI and cognitive outcomes in different sex subgroups.,"Note: Values represent beta coefficients (β), and their corresponding standard errors (SE) and p‐values (p). Statistically significant findings at p ≤0.05 are indicated in bold.Abbreviations: FLI, free leptin index; HVOT, Hooper Visual Organization Test; MRI, magnetic resonance imaging; sOB‐R, soluble leptin receptor.aLinear regression models with the respective MRI marker or neuropsychological test score as the outcome and the respective leptin marker, sex, as well as their product term as the main predictors. Values represent the p‐value of the respective product term (p for interaction). Only significant findings at p ≤0.1 are presented.bLinear regression models with the respective MRI marker or neuropsychological test score as the outcome and the respective leptin marker as the main predictor, conducted by sex subgroups.cModels are adjusted for age, diabetes mellitus, body mass index, systolic blood pressure, antihypertensive medication use, current smoking, prevalent cardiovascular disease, and time interval between blood draw and MRI acquisition.das percentage of total cranial volume.eThese variables have been natural log‐transformed to normalize their distributions.fModels are adjusted for age, education, diabetes mellitus, body mass index, systolic blood pressure, antihypertensive medication use, current smoking, prevalent cardiovascular disease, and time interval between blood draw and neuropsychological assessment.gScores were multiplied by ‐1 so that higher scores reflect better cognitive performance.",2,articles/9e1/pmcid_11497668/tables/table_004.csv
11497668,alz13879-tbl-0006,TABLE 6,Associations of leptin markers with MRI and cognitive outcomes in different WHR subgroups.,"Note: Values represent beta coefficients (β), and their corresponding standard errors (SE) and p‐values (p). Statistically significant findings at p ≤0.05 are indicated in bold.Abbreviations: FLI, free leptin index; HVOT, Hooper Visual Organization Test; MRI, magnetic resonance imaging; sOB‐R, soluble leptin receptor; WHR, waist‐to‐hip ratio; WMH, white matter hyperintensity volume.aLinear regression models with the respective MRI measure or neuropsychological test score as the outcome and the respective leptin marker, WHR, as well as their product term as the main predictors. Values represent the p‐value of the respective product term (p for interaction). Only significant findings at p ≤ 0.1 are presented.bLinear regression models with the respective MRI measure or neuropsychological test score as the outcome and the respective leptin marker as the main predictor, conducted in different WHR subgroups.cModels are adjusted for age, sex, diabetes mellitus, body mass index, systolic blood pressure, antihypertensive medication use, current smoking, prevalent cardiovascular disease, and time interval between blood draw and MRI acquisition.dThese variables have been natural log‐transformed to normalize their distributions.eModels are further adjusted for total cranial volume.",2,articles/9e1/pmcid_11497668/tables/table_005.csv
4801877,T1,Table 1,Fornix microstructure and hippocampal microstructure and volume.,"FA, fractional anisotropy; MD, mean diffusivity; Vol, volume. N = 25 subjects.",1,articles/29b/pmcid_4801877/tables/table_000.csv
4801877,T2,Table 2,Linear mixed effect models (random intercept models) for recall performance (adjusted for time point and age (centered)).,"FA, fractional anisotropy; MD, mean diffusivity. N = 25 subjects/124 measures. *in 103.",3,articles/29b/pmcid_4801877/tables/table_001.csv
7284130,t0005,Table 1,Cohort characteristics at baseline including a summary of MRI findings. Means ± standard deviations are reported for normally distributed continuous measures. Number of individuals with the specified medical history are reported for each cohort. ANOVA group comparison p-values reported.,,1,articles/5f3/pmcid_7284130/tables/table_000.csv
7284130,t0010,Table 2,Summary of neuropsychological assessment scores and MRI findings. Means ± standard deviations are reported for normally distributed continuous measures. Median and interquartile range are reported for the WMH volume as they were not normally distributed. Number of individuals with 1 or more lacunes or CMBs are reported. ANOVA comparison group p-values reported.,,1,articles/5f3/pmcid_7284130/tables/table_001.csv
7284130,t0015,Table 3,PSMD and mean MD and their associations with cognitive scores. Standardized beta-coefficients and p-values are shown.,,1,articles/5f3/pmcid_7284130/tables/table_002.csv
5279696,t0005,Table 1,"Study demographics, cognitive scores and imaging metrics at baseline.",aCN v. early MCI (p < 0.05).,1,articles/9ff/pmcid_5279696/tables/table_000.csv
5279696,t0010,Table 2,Longitudinal Model B for executive function.,Bold values indicate significance at p < 0.05.,2,articles/9ff/pmcid_5279696/tables/table_001.csv
5279696,t0015,Table 3,Longitudinal Model B for memory.,Bold values indicate significance at p < 0.05.,2,articles/9ff/pmcid_5279696/tables/table_002.csv
5279696,t0020,Table 4,Longitudinal model for executive function with MD component coefficient predictors.,Bold values indicate significance at p < 0.05.,2,articles/9ff/pmcid_5279696/tables/table_003.csv
3674338,Tab1,Table 1,Demographic characteristics of the subjects,"PD Parkinson’s disease, PDD Parkinson’s disease with dementia, MMSE Mini-Mental State Examination, NA not applicable, NS not significant (P > 0.05)aMMSE scores were significantly lower in PDD patients than in controls (P < 0.01) or PD patients (P < 0.01), but the scores did not differ significantly between controls and PD patients",1,articles/1ca/pmcid_3674338/tables/table_000.csv
3674338,Tab2,Table 2,Comparison of mean diffusivity (MD) and fractional anisotropy (FA) in the genu of the corpus callosum in patients and control subjects,"GCC genu of the corpus callosum, PD Parkinson’s disease, PDD Parkinson’s disease with dementia, CN control subjectsaValues are means ± standard deviationbDiffusivity values are expressed as 10−3 mm2/scStatistical significance (P < 0.05)",1,articles/1ca/pmcid_3674338/tables/table_001.csv
11494636,jhd-13-jhd240018-t001,Table 1,Comparison of clinical assessments and demographic information between three groups,"SD, standard deviation; BMI, body mass index; STIT, Stroop Interference Test; SDMT, Symbol Dicit Modality Test; CFT, Category Fluency Test of animals; BDI-II, Beck Depression Inventory II; MMSE, Mini-Mental State Examination; CAP, CAG age product; TFC, total functional capacity; N/A, not applicable; *Cases with missing values were excluded. p, p values for ANCOVA analysis, p1, p values for post hoc between HC and m& lCAP groups, p2, p values for post hoc between HC and hCAP groups, p3, p values for post hoc between m& lCAP and hCAP groups.",1,articles/e28/pmcid_11494636/tables/table_000.csv
11494636,jhd-13-jhd240018-t002,Table 2,The number of brain regions with different MK or FA values in multiple comparisons of three groups,"No., number; HC, healthy control; m& lCAP, medium and low CAP group; hCAP, high CAP group.",1,articles/e28/pmcid_11494636/tables/table_001.csv
11494636,jhd-13-jhd240018-t003,Table 3,ROC and Youden Index analyses using MK and FA values,"HC, healthy controls; m& lCAP, medium and low CAP; hCAP, high CAP; AUC, area under curve.",1,articles/e28/pmcid_11494636/tables/table_002.csv
10344700,tbl0001,Table 1a,Baseline characteristics of study population.,,1,articles/43a/pmcid_10344700/tables/table_000.csv
10344700,tbl0002,Table 1b,Summary statistics of cognitive outcomes by Year.,Values are presented as mean (SD) unless otherwise stated.,1,articles/43a/pmcid_10344700/tables/table_001.csv
10344700,tbl0003,Table 2,Association of baseline MD measures with cognitive scores over time.,aModel I: adjusted for follow-up time.,2,articles/43a/pmcid_10344700/tables/table_002.csv
10344700,tbl0004,Table 3,Association of baseline FA measures with cognitive scores over time.,aModel I: adjusted for follow-up time.,2,articles/43a/pmcid_10344700/tables/table_003.csv
10344700,tbl0005,Table 4,Ratio of absolute mean differences in cognitive scores for Year 2 to Year 0 with the same change in DTI measures and the same profile for the other covariates.,"Values are presented as OR (95%CI), p values.Estimates were adjusted for demographic factors (age, sex, race, baseline diagnosis, education), cardiovascular risk factors (smoking status, hypertension, hyperlipidemia, diabetes), risk factors for cerebrovascular disease (white matter hyperintensities, number of lacunes, number of cerebral microbleeds, total brain volume) and interaction term between DTI measure and follow-up.#: For these cognitive z-score and DTI measure combinations, their DTI effects for each timepoint was non-significant (i.e., p<0.05/12 = 0.004 for domain-specific cognitive z-score, and p<0.05 for global z-score). Although some the combinations had wide 95%CIs, all had p-values > 0.05.-: For these cognitive z-score and DTI measure combinations, their p-value for interaction were non-significant. Hence ratio is 1.",1,articles/43a/pmcid_10344700/tables/table_004.csv
10344700,utbl0001,,,"Logistic regression was performed with outcome binarised on the difference of cognition scores at Year 2 and at baseline, where a negative difference is considered an event.",2,articles/43a/pmcid_10344700/tables/table_005.csv
6072645,t0005,Table 1,MRI sequence parameter settings.,"Scan protocol of whole-brain near-isotropic 3DT1-weighted (3DT1w), diffusion-weighted imaging (DWI), and resting-state functional MRI T2*-weighted MRI (rs-fMRI) on a 3T scanner at the Leiden University Medical Centre.Abbreviations: TR: repetition time; TE: echo time.",1,articles/e10/pmcid_6072645/tables/table_000.csv
6072645,t0010,Table 2,Demographics.,Abbreviations: MMSE: mini-mental state examination.,1,articles/e10/pmcid_6072645/tables/table_001.csv
