pmcid,pmid,doi,title,journal,publication_year,license
10165759,37158918,10.1186/s12967-023-04158-8,Detection of mild cognitive impairment in Parkinson’s disease using gradient boosting decision tree models based on multilevel DTI indices,J Transl Med,2023,https://creativecommons.org/licenses/by/4.0/
3010401,19847044,10.3233/BEN-2009-0234,Diffusion Tensor Imaging in Alzheimer’s Disease and Mild Cognitive Impairment,Behav Neurol,2009,http://creativecommons.org/licenses/by/3.0
5390949,27384985,10.1088/0031-9155/61/15/5587,Quantitative T2 mapping of white matter: applications for ageing and cognitive decline,Phys Med Biol,2016,http://creativecommons.org/licenses/by/3.0/
6931233,31865024,10.1016/j.nicl.2019.102115,Middle longitudinal fascicle is associated with semantic processing deficits in primary progressive aphasia,Neuroimage Clin,2019,http://creativecommons.org/licenses/by-nc-nd/4.0/
11867789,40016624,10.1002/hbm.70171,Association Between Single Nucleotide Polymorphisms in the Aquaporin‐4 Gene and Longitudinal Changes in White Matter Free Water and Cognitive Function in Non‐Demented Older Adults,Hum Brain Mapp,2025,https://creativecommons.org/licenses/by-nc/4.0/
5339687,28266655,10.1038/srep43841,Intact sensory-motor network structure and function in far from onset premanifest Huntington’s disease,Sci Rep,2017,http://creativecommons.org/licenses/by/4.0/
6700635,31282416,10.3233/JAD-190152,Interplay Between Macular Retinal Changes and White Matter Integrity in Early Alzheimer’s Disease,J Alzheimers Dis,2019,https://creativecommons.org/licenses/by-nc/4.0/
4737469,26881100,10.1155/2016/2947136,Multilevel Deficiency of White Matter Connectivity Networks in Alzheimer's Disease: A Diffusion MRI Study with DTI and HARDI Models,Neural Plast,2016,https://creativecommons.org/licenses/by/4.0/
4508678,24067771,10.2176/nmc.oa2012-0307,White Matter Characteristics of Idiopathic Normal Pressure Hydrocephalus: A Diffusion Tensor Tract-Based Spatial Statistic Study,Neurol Med Chir (Tokyo),2013,http://creativecommons.org/licenses/by-nc-nd/4.0/
3432077,22952880,10.1371/journal.pone.0044074,Improved Sensitivity to Cerebral White Matter Abnormalities in Alzheimer’s Disease with Spherical Deconvolution Based Tractography,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/
3675157,23762308,10.1371/journal.pone.0065175,"Associations between White Matter Hyperintensities and β Amyloid on Integrity of Projection, Association, and Limbic Fiber Tracts Measured with Diffusion Tensor MRI",PLoS One,2013,http://creativecommons.org/licenses/by/4.0/
9720004,36479018,10.1002/dad2.12381,Associations between diffusion MRI microstructure and cerebrospinal fluid markers of Alzheimer's disease pathology and neurodegeneration along the Alzheimer's disease continuum,Alzheimers Dement (Amst),2022,https://creativecommons.org/licenses/by-nc/4.0/
3534120,23300797,10.1371/journal.pone.0052859,Different Patterns of White Matter Degeneration Using Multiple Diffusion Indices and Volumetric Data in Mild Cognitive Impairment and Alzheimer Patients,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/
9693894,34841903,10.1177/15500594211058263,Olfactory Function and Diffusion Tensor Imaging as Markers of Mild Cognitive Impairment in Early Stages of Parkinson's Disease,Clin EEG Neurosci,2021,https://creativecommons.org/licenses/by/4.0/
4927852,26444762,10.3233/JAD-150253,Diffusion Kurtosis Imaging: A Possible MRI Biomarker for AD Diagnosis?,J Alzheimers Dis,2015,open-access
10909630,38433018,10.1111/cns.14654,SPAK inhibitor ZT‐1a attenuates reactive astrogliosis and oligodendrocyte degeneration in a mouse model of vascular dementia,CNS Neurosci Ther,2024,https://creativecommons.org/licenses/by/4.0/
3335803,22545143,10.1371/journal.pone.0035856,Assessing Corpus Callosum Changes in Alzheimer's Disease: Comparison between Tract-Based Spatial Statistics and Atlas-Based Tractography,PLoS One,2012,http://creativecommons.org/licenses/by/4.0/
11063818,38565289,10.1523/JNEUROSCI.0538-23.2024,Fixel-Based Analysis Reveals Tau-Related White Matter Changes in Early Stages of Alzheimer's Disease,J Neurosci,2024,https://creativecommons.org/licenses/by/4.0/
10830492,38297073,10.1038/s41598-024-52910-x,Joint diffusional kurtosis magnetic resonance imaging analysis of white matter and the thalamus to identify subcortical ischemic vascular disease,Sci Rep,2024,https://creativecommons.org/licenses/by/4.0/
3760905,24019913,10.1371/journal.pone.0073280,Tractography of the Corpus Callosum in Huntington’s Disease,PLoS One,2013,http://creativecommons.org/licenses/by/4.0/
8365836,34408645,10.3389/fnagi.2021.700764,White Matter Integrity Underlies the Physical-Cognitive Correlations in Subjective Cognitive Decline,Front Aging Neurosci,2021,https://creativecommons.org/licenses/by/4.0/
9616570,35147158,10.1093/hmg/ddac036,Longitudinal multimodal MRI characterization of a knock-in mouse model of Huntington’s disease reveals early gray and white matter alterations,Hum Mol Genet,2022,https://creativecommons.org/licenses/by-nc/4.0/
11144950,38825988,10.1002/hbm.26704,Multimodal cross‐examination of progressive apraxia of speech by diffusion tensor imaging‐based tractography and Tau‐PET scans,Hum Brain Mapp,2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
11077244,38715429,10.1002/brb3.3533,Diabetes‐related clinical and microstructural white matter changes in patients with Alzheimer's disease,Brain Behav,2024,https://creativecommons.org/licenses/by/4.0/
6411581,30502079,10.1016/j.nicl.2018.10.024,Cerebrospinal fluid biomarkers of neurofibrillary tangles and synaptic dysfunction are associated with longitudinal decline in white matter connectivity: A multi-resolution graph analysis,Neuroimage Clin,2018,http://creativecommons.org/licenses/by-nc-nd/4.0/
11782200,39737627,10.1002/alz.14371,Microstructural mapping of neural pathways in Alzheimer's disease using macrostructure‐informed normative tractometry,Alzheimers Dement,2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
11335656,39170682,10.3389/fnins.2024.1440653,Exploring white matter microstructural alterations in mild cognitive impairment: a multimodal diffusion MRI investigation utilizing diffusion kurtosis and free-water imaging,Front Neurosci,2024,https://creativecommons.org/licenses/by/4.0/
10448214,37582307,10.1016/j.nicl.2023.103493,Mixed longitudinal and cross-sectional analyses of deep gray matter and white matter using diffusion weighted images in premanifest and manifest Huntington’s disease,Neuroimage Clin,2023,https://creativecommons.org/licenses/by-nc-nd/4.0/
4053649,24936424,10.1016/j.nicl.2014.04.008,White matter microstructure in late middle-age: Effects of apolipoprotein E4 and parental family history of Alzheimer's disease,Neuroimage Clin,2014,http://creativecommons.org/licenses/by/3.0/
5200876,28066707,10.1016/j.nicl.2016.12.012,Longitudinal changes in microstructural white matter metrics in Alzheimer's disease,Neuroimage Clin,2016,http://creativecommons.org/licenses/by-nc-nd/4.0/
6872975,31803008,10.3389/fnins.2019.01228,"Amyloid Load, Hippocampal Volume Loss, and Diffusion Tensor Imaging Changes in Early Phases of Brain Aging",Front Neurosci,2019,http://creativecommons.org/licenses/by/4.0/
3132541,21760989,10.4061/2011/546871,"Joint Assessment of Structural, Perfusion, and Diffusion MRI in Alzheimer's Disease and Frontotemporal Dementia",Int J Alzheimers Dis,2011,open-access
11111894,38784911,10.3389/fneur.2024.1360273,Diffusion imaging markers of accelerated aging of the lower cingulum in subjective cognitive decline,Front Neurol,2024,https://creativecommons.org/licenses/by/4.0/
9616370,36324717,10.1016/j.cccb.2021.100013,Zooming in on cerebral small vessel function in small vessel diseases with 7T MRI: Rationale and design of the “ZOOM@SVDs” study,Cereb Circ Cogn Behav,2021,https://creativecommons.org/licenses/by-nc-nd/4.0/
5349685,28291839,10.1371/journal.pone.0173982,Microstructural white matter alterations in preclinical Alzheimer’s disease detected using free water elimination diffusion tensor imaging,PLoS One,2017,https://creativecommons.org/publicdomain/zero/1.0/
7235062,31705427,10.1007/s12975-019-00741-8,Predictors of Lesion Cavitation After Recent Small Subcortical Stroke,Transl Stroke Res,2019,http://creativecommons.org/licenses/by/4.0/
4692518,26505297,10.1016/j.neuroimage.2015.10.043,Application of neurite orientation dispersion and density imaging (NODDI) to a tau pathology model of Alzheimer's disease,Neuroimage,2016,http://creativecommons.org/licenses/by/4.0/
11872816,39004653,10.1007/s11357-024-01281-2,White matter microstructural integrity as a key to effective propagation of gamma entrainment in humans,GeroScience,2024,https://creativecommons.org/licenses/by/4.0/
9693722,36440281,10.3389/fnins.2022.1051038,"Peak width of skeletonized mean diffusivity in cerebral amyloid angiopathy: Spatial signature, cognitive, and neuroimaging associations",Front Neurosci,2022,https://creativecommons.org/licenses/by/4.0/
6801158,31507085,10.1002/acn3.50877,"
11C‐PK11195 PET imaging and white matter changes in Parkinson’s disease dementia",Ann Clin Transl Neurol,2019,http://creativecommons.org/licenses/by/4.0/
4305215,25363208,10.1002/ana.24296,Longitudinal Diffusion Tensor Imaging in Frontotemporal Dementia,Ann Neurol,2014,http://creativecommons.org/licenses/by/3.0/
5664300,28978655,10.1212/WNL.0000000000004594,Change in multimodal MRI markers predicts dementia risk in cerebral small vessel disease,Neurology,2017,https://creativecommons.org/licenses/by/4.0/
9292816,33778998,10.1002/gps.5540,Neural correlates of the impulse dyscontrol domain of mild behavioral impairment,Int J Geriatr Psychiatry,2021,https://creativecommons.org/licenses/by-nc-nd/4.0/
10638840,37954101,10.1515/biol-2022-0714,Markov model combined with MR diffusion tensor imaging for predicting the onset of Alzheimer’s disease,Open Life Sci,2023,https://creativecommons.org/licenses/by/4.0/
5167220,26515192,10.1007/s11682-015-9458-5,An advanced white matter tract analysis in frontotemporal dementia and early-onset Alzheimer’s disease,Brain Imaging Behav,2015,https://creativecommons.org/licenses/by/4.0/
11345637,39185685,10.1002/hbm.26805,A “glympse” into neurodegeneration: Diffusion MRI and cerebrospinal fluid aquaporin‐4 for the assessment of glymphatic system in Alzheimer's disease and other dementias,Hum Brain Mapp,2024,https://creativecommons.org/licenses/by-nc/4.0/
6390411,30837858,10.3389/fninf.2019.00002,Diffusion MRI Indices and Their Relation to Cognitive Impairment in Brain Aging: The Updated Multi-protocol Approach in ADNI3,Front Neuroinform,2019,http://creativecommons.org/licenses/by/4.0/
11497707,39129270,10.1002/alz.14158,"Association of cortical morphology, white matter hyperintensity, and glymphatic function in frontotemporal dementia variants",Alzheimers Dement,2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
9194644,35696810,10.1016/j.nicl.2022.103077,Causal structure discovery identifies risk factors and early brain markers related to evolution of white matter hyperintensities,Neuroimage Clin,2022,https://creativecommons.org/licenses/by-nc-nd/4.0/
8672096,34902714,10.1016/j.nicl.2021.102908,White matter microstructure associations to amyloid burden in adults with Down syndrome,Neuroimage Clin,2021,https://creativecommons.org/licenses/by-nc-nd/4.0/
9935650,36418623,10.1007/s00330-022-09245-w,Free water corrected diffusion tensor imaging discriminates between good and poor outcomes of comatose patients after cardiac arrest,Eur Radiol,2022,https://creativecommons.org/licenses/by/4.0/
3305887,22438841,10.3389/fnhum.2012.00056,Episodic memory function is associated with multiple measures of white matter integrity in cognitive aging,Front Hum Neurosci,2011,http://www.frontiersin.org/licenseagreement
6978216,31706220,10.1016/j.nicl.2019.102048,Longitudinal changes in rich club organization and cognition in cerebral small vessel disease,Neuroimage Clin,2019,http://creativecommons.org/licenses/by/4.0/
11335690,39170078,10.3389/fneur.2024.1443496,Longitudinal assessment of glymphatic changes following mild traumatic brain injury: Insights from perivascular space burden and DTI-ALPS imaging,Front Neurol,2024,https://creativecommons.org/licenses/by/4.0/
11019668,38442778,10.1016/j.neuroimage.2024.120564,Altered structural and functional connectivity in Posterior Cortical Atrophy and Dementia with Lewy bodies,Neuroimage,2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
5624890,28970540,10.1038/s41598-017-12947-7,Microstructural network alterations of olfactory dysfunction in newly diagnosed Parkinson’s disease,Sci Rep,2017,http://creativecommons.org/licenses/by/4.0/
11755477,39846567,10.3390/neurosci6010008,Distinguishing Early from Late Mild Cognitive Impairment Using Magnetic Resonance Free-Water Diffusion Tensor Imaging,NeuroSci,2025,https://creativecommons.org/licenses/by/4.0/
8689627,34950511,10.1177/20584601211066467,Diffusion tension imaging is a good tool for assessing patients with dementia and behavioral problems and discriminating them from other dementia patients,Acta Radiol Open,2021,https://creativecommons.org/licenses/by/4.0/
4207674,25340651,10.1371/journal.pone.0109676,Deep White Matter in Huntington's Disease,PLoS One,2014,http://creativecommons.org/licenses/by/4.0/
5534111,28754095,10.1186/s12883-017-0911-5,Comparison of neuropsychiatric symptoms and diffusion tensor imaging correlates among patients with subcortical ischemic vascular disease and Alzheimer’s disease,BMC Neurol,2017,http://creativecommons.org/licenses/by/4.0/
5331035,28298891,10.3389/fnagi.2017.00037,White Matter Deterioration May Foreshadow Impairment of Emotional Valence Determination in Early-Stage Dementia of the Alzheimer Type,Front Aging Neurosci,2017,http://creativecommons.org/licenses/by/4.0/
7998032,33772083,10.1038/s41598-021-86505-7,Free-water diffusion tensor imaging improves the accuracy and sensitivity of white matter analysis in Alzheimer’s disease,Sci Rep,2021,http://creativecommons.org/licenses/by/4.0/
10642051,37957768,10.1186/s13195-023-01335-1,Divergent brain regional atrophy and associated fiber disruption in amnestic and non-amnestic MCI,Alzheimers Res Ther,2023,https://creativecommons.org/licenses/by/4.0/
10925090,38463962,10.1101/2024.02.22.581646,Lifespan reference curves for harmonizing multi-site regional brain white matter metrics from diffusion MRI,bioRxiv,2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
7005463,32032816,10.1016/j.nicl.2020.102200,Correlation of microglial activation with white matter changes in dementia with Lewy bodies,Neuroimage Clin,2020,http://creativecommons.org/licenses/by-nc-nd/4.0/
6221120,30063250,10.1002/ana.25309,In vivo characterization of white matter pathology in premanifest huntington's disease,Ann Neurol,2018,http://creativecommons.org/licenses/by/4.0/
9985137,36641369,10.1016/j.neurobiolaging.2022.12.016,Adult lifespan maturation and degeneration patterns in gray and white matter: A mean apparent propagator (MAP) MRI study,Neurobiol Aging,2022,https://creativecommons.org/licenses/by-nc-nd/4.0/
11813630,39934085,10.1002/jcsm.13719,Neuroimaging Findings in Nondemented Frail Individuals: A Systematic Review,J Cachexia Sarcopenia Muscle,2025,https://creativecommons.org/licenses/by/4.0/
8959640,35382232,10.1002/dad2.12261,"Instrumental validation of free water, peak‐width of skeletonized mean diffusivity, and white matter hyperintensities: MarkVCID neuroimaging kits",Alzheimers Dement (Amst),2022,https://creativecommons.org/licenses/by-nc-nd/4.0/
11484424,39420261,10.1186/s12883-024-03904-9,Investigating the association between the GAP-43 concentration with diffusion tensor imaging indices in Alzheimer’s dementia continuum,BMC Neurol,2024,https://creativecommons.org/licenses/by-nc-nd/4.0/
11160843,38854000,10.1101/2024.06.01.24307927,Longitudinal Assessment of Glymphatic Changes Following Mild Traumatic Brain Injury: Insights from PVS burden and DTI-ALPS Imaging,medRxiv,2024,https://creativecommons.org/licenses/by-nc/4.0/
3902504,24448846,10.1136/bmjopen-2013-003976,White matter integrity and cognition in Parkinson's disease: a cross-sectional study,BMJ Open,2014,http://creativecommons.org/licenses/by-nc/3.0/
